Campaign;Campaign ID;Campaign type;Currency code;Audience segment;Clicks;Impr.;Cost
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;Lifestyles & Hobbies › Family-Focused › Home educating parents;75;52,658;136.37
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;Banking & Finance › Avid Investors;74;62,699;62.28
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;Travel › Travel Buffs;74;95,478;22.59
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;Shoppers › Luxury Shoppers;73;82,351;77.16
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;Lifestyles & Hobbies › Nightlife Enthusiasts;71;3,017;2.52
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Lifestyles & Hobbies › Family-Focused;69;103,569;28.5
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Lifestyles & Hobbies;69;81,190;21.04
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;Cars and Vehicles › Motor Vehicles › Motor Vehicles (By Type) › Luxury Vehicles;67;74,827;70.92
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Travel;67;30,361;9.68
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;Cars and Vehicles › Motor Vehicles › Motor Vehicles (By Type) › Sports Cars › Sports Cars (New);66;190;3.2
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;Lifestyles & Hobbies;61;76,569;21.95
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;Travel › Travel Buffs › Luxury Travellers;59;56,073;61.08
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;Custom segment - Keywords;59;2,042;1.37
T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;22186470409;In-stream video;EUR;Lifestyles & Hobbies › Fashionistas;57;145,861;490.75
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Shoppers;56;124,768;19.43
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;Lifestyles & Hobbies › Business Professionals;55;6,815;3.95
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;Shoppers › Luxury Shoppers;54;56,886;17.84
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Home & Garden › Home Decor Enthusiasts;54;80,796;13.02
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Lifestyles & Hobbies;54;67,665;11.39
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;Purchasing a Home › Recently Purchased a Home;54;93,937;25.58
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;EUR;Lifestyles & Hobbies › Business Professionals;53;12,055;7.59
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;Cars and Vehicles › Motor Vehicles › Motor Vehicles (By Type) › Sports Cars › Sports Cars (New);52;210;2.25
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;Lifestyles & Hobbies › Nightlife Enthusiasts;52;2,734;1.77
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;Shoppers;51;72,726;16.87
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Home & Garden › Interior Design;50;55,512;20.18
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;Shoppers › Shoppers by Shop Type;49;55,635;14.48
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Home & Garden › Do-It-Yourselfers;47;72,087;12.61
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Employment › Executive & Management Jobs;45;11,092;5.59
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;ICC_Config_Starter-90-Standard-GA-DDM;45;143;1.94
T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;22186470409;In-stream video;EUR;Eucerin Related KWs;43;32,720;82.25
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;Shoppers › Shopping Enthusiasts;43;63,343;14.76
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;Lifestyles & Hobbies;42;59,802;13.5
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;Shoppers › Luxury Shoppers;42;48,840;12.07
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Purchasing a Home;39;26,299;11.26
