Campaign ID,Campaign,Age,Gender,Cost,Impr.,Clicks
22666305736,HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH,35 - 44,Male,545.95,777800.0,17285.0
23160958240,Volkswagen Gume Oct - Dec 2025 (DG) - CPC,65+,Female,684.12,883850.0,17107.0
22153504697,Energycom Jan - Feb 2025 (DN) - CPC,55 - 64,Female,1067.02,1331111.0,16984.0
23096285714,HR_HA_VC_HR_25_Q4_Usisavači-VCC_DIS_consideration__Usisavači-VCC-DG_lg.com/hr/usisavaci_20250525-0001__CPC_CLK_google-ads_PRO,25 - 34,Male,776.71,1557411.0,16959.0
22693786294,HR_OTH_AC_HR_25_Q2_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250618-0005__CPC_CLK_google-ads_PRO,35 - 44,Male,643.6,868347.0,16930.0
23200358572,Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC,65+,Female,592.34,735631.0,16710.0
22779402381,Cupra Formentor Jul - Aug 2025 (DG) - CPC,45 - 54,Female,358.97,746245.0,16241.0
22666305736,HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH,25 - 34,Female,519.94,751334.0,16115.0
23096352143,HR_HA_REF_HR_25_Q4_Hladnjaci-REF_DIS_consideration__Hladnjaci-DG_elipso.hr/prilika/lg-hladnjaci-akcija-rujan-2025/_20250926-0008__CPC_CLK_google-ads_PRO,25 - 34,Female,614.54,1135285.0,15875.0
23196329174,Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC,65+,Male,534.14,620350.0,15868.0
22693786294,HR_OTH_AC_HR_25_Q2_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250618-0005__CPC_CLK_google-ads_PRO,35 - 44,Female,620.15,742346.0,15838.0
22689917264,HR_HE_TV_HR_25_Q2_OLED-QNED_DIS_consideration__OLED-QNED-TV-DG_https://www.lg.com/hr/oled-evo_20250613-0002__CPC_CLK_google-ads_OTH,25 - 34,Male,562.52,1032490.0,15757.0
22414635975,Volkswagen Tayron - April/May 2025 (DG) - CPC,45 - 54,Male,488.86,1070042.0,15714.0
23247973596,HR_OTH_WM_HR_25_Q4_WashTower-WM_WashTower-DG_lg.com/hr/lg-washtower_consideration_20251030-0003_google-ads_DIS_PRO_CPC_CLK_PRO,25 - 34,Male,528.55,1134439.0,15615.0
22841776748,Škoda Superb PHEV August 2025 (DG) - CPC,45 - 54,Male,640.01,1601222.0,15540.0
