Campaign ID,Campaign,Audience segment,Cost,Impr.,Clicks
22433452242,McDonald's McDelivery Apr - May 2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Dinner Out,0.09,37.0,0.0
22433452242,McDonald's McDelivery Apr - May 2025 (YT) - CPV,Burger Restaurants,2.01,660.0,0.0
22433452242,McDonald's McDelivery Apr - May 2025 (YT) - CPV,Fast Food Franchises,0.02,4.0,0.0
22433452242,McDonald's McDelivery Apr - May 2025 (YT) - CPV,McDonalds Food,0.11,30.0,0.0
22433452242,McDonald's McDelivery Apr - May 2025 (YT) - CPV,restaurants mcdonald's,1.92,628.0,0.0
22433488221,McDonald's McDelivery Apr - May 2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,2.3,2252.0,0.0
22433488221,McDonald's McDelivery Apr - May 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,0.19,128.0,0.0
22433488221,McDonald's McDelivery Apr - May 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Dinner Out,0.01,8.0,0.0
22433488221,McDonald's McDelivery Apr - May 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,1.58,991.0,0.0
22433488221,McDonald's McDelivery Apr - May 2025 (YT) - Bumper,McDonalds Coffee,0.02,22.0,0.0
22433488221,McDonald's McDelivery Apr - May 2025 (YT) - Bumper,McDonalds Coupons,0.04,35.0,0.0
22433488221,McDonald's McDelivery Apr - May 2025 (YT) - Bumper,McDonalds Food,0.03,25.0,0.0
22442535963,McDonald's McDelivery Wolt Apr - May 2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Dinner Out,0.03,18.0,0.0
22442535963,McDonald's McDelivery Wolt Apr - May 2025 (YT) - CPV,McDonalds Food,0.02,9.0,0.0
22445866454,VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025._2,Beauty & Personal Care › Hair Care Products › Hair Colour Products,0.28,216.0,0.0
22445866454,VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025._2,Hair Styling Products,0.11,68.0,0.0
22452364523,McDonald's McCrispy II April - May 2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,1.2,2380.0,0.0
22452364523,McDonald's McCrispy II April - May 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,0.79,878.0,0.0
22452364523,McDonald's McCrispy II April - May 2025 (YT) - Bumper,Food & Drink › Food › Fast Food Meals,0.57,598.0,0.0
22452364523,McDonald's McCrispy II April - May 2025 (YT) - Bumper,Mc Donalds Food and Promotions,1.95,3865.0,0.0
22452364523,McDonald's McCrispy II April - May 2025 (YT) - Bumper,McDonalds Coupons,0.03,49.0,0.0
22452364523,McDonald's McCrispy II April - May 2025 (YT) - Bumper,McDonalds Food,0.02,31.0,0.0
22452364523,McDonald's McCrispy II April - May 2025 (YT) - Bumper,restaurants mcdonald's,0.6,1208.0,0.0
22452364523,McDonald's McCrispy II April - May 2025 (YT) - Bumper,McDonald's Chicken 30 Days,0.14,281.0,0.0
22452503269,McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,0.66,416.0,0.0
22452503269,McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper,Mc Donalds Food and Promotions,0.36,362.0,0.0
22452503269,McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper,McDonalds Coffee,0.01,12.0,0.0
22452503269,McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper,McDonalds Coupons,0.01,12.0,0.0
22452503269,McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper,McDonalds Food,0.01,11.0,0.0
