Campaign ID;Campaign Name;Spend;Impressions;Clicks;Ad Formats
20273032046;T03_001584_HR_NFC_Q10 Expert_AW_Jun23_Aug23_fullf_OMD_know_bumper;0;0;0;Bumper
20260357573;McDonald's Family Jun-Jul 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20251540441;McDonald's McDelivery Wolt June 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20240764489;McDonald's HM Karmas world - June 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20209192314;McDonald's Coffee II May - June 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20184990895;T03_000098_HR_NSU_Protect Moisture_CO_May23_Jul23_fullf_OMD_bumper_sun_kids;0;0;0;Bumper
20184880774;T03_000098_HR_NSU_Protect Moisture_CO_May23_Jul23_fullf_OMD_bumper_sun;0;0;0;Bumper
20184135052;T03_000098_HR_NSU_Protect Moisture_AW_May23_Jul23_fullf_OMD_trueview_sun;0;0;0;Skippable in-stream
20181578051;T03_000098_HR_NSU_Protect Moisture_AW_May23_Jul23_fullf_OMD_trueview_sun_kids;0;0;0;Skippable in-stream
20179280339;McDonald's Chicken Strips II (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20165627888;Zott Jogobella May - Jun 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20146461577;T03_000046_HR_NME_Sensitive AS BalmLotionFluid_AW_May23_Jun23_fullf_OMD_reach_mix;0;0;0;Skippable in-stream + Bumper
20104854907;McDonald's Maestro II May 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20085750385;T03_001453_HR_NSU_Triple Protect_AW_May23_Jul23_fullf_OMD_Reach_mix;0;0;0;Skippable in-stream + Bumper
20081218923;Zott Monte Ice cream May - Jun 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20078417467;T03_000717_HR_NIV_Promotion_AW_Apr23_May23_fullf_OMD_Trueview;0;0;0;Skippable in-stream
20071953769;McDonald's Employer Image II May 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20069599194;T03_000717_HR_NIV_Promotion_CO_Apr23_May23_fullf_OMD_Bumper;0;0;0;Bumper
20064041502;McDonald's Breakfast II May 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20051604925;T03_000227_HR_NFC_Cellular Luminous 630_CO_May23_Jul23_fullf_OMD_Bumper;0;0;0;Bumper
20051453965;T03_000227_HR_NFC_Cellular Luminous 630_AW_May23_Jul23_fullf_OMD_Trueview;0;0;0;Skippable in-stream
20042538449;McDonald's Speculoos May 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
20010954840;McDonald's HM WB Apr - May 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19964137572;Zott Jogobella Apr - May 2023 (YT) - CPV;0;0;0;Skippable in-stream
19963782851;McDonald's Breakfast Apr - Jun 2023 (YT) - Reach Mix -  CPM;0;0;0;Skippable in-stream + Bumper
19963069871;T03_000031_HR_NBD_Q10 Firming_CO_Apr23_Jul23_fullf_YouTube_Bumper_OMD;0;0;0;Bumper
19958582808;McDonald's Loyalty April 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19957104423;T03_000031_HR_NBD_Q10 Firming_AW_Apr23_Jul23_fullf_YouTube_Trueview_OMD;0;0;0;Skippable in-stream
19925314957;202304//Persil//Advanced 23//Cleaning Better Caring Better//Bumper;0;0;0;Bumper
19925293174;T03_001210_HR_NFC_Cellular Concealer_AW_Apr23_May23_fullf_YouTube_Reach mix_OMD;0;0;0;Skippable in-stream + Bumper
19923992762;202304//Persil//Advanced 23//Cleaning Better Caring Better//Trueview;0;0;0;Non-skippable in-stream
19916672601;McDonald's 1+1 April 2022 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19902861742;McDonald's Trust Mar - May 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19901553788;T03_001553_HR_NDO_B&W Range (unisex)_AW_Apr23_Jun23_fullf_OMD_YouTube_Reach mix;0;0;0;Skippable in-stream + Bumper
19862322459;Zott Belriso Mar-Apr 2023 (YT) - CPV;0;0;0;Skippable in-stream
19850048071;McDonald's Speculoos Mar - Apr 2023 (YT) - Reach mix - CPM;0;0;0;Skippable in-stream + Bumper
19806074390;McDonald's Maestro Burgeri March 2023 (YT) Reach Mix - CPM;0;0;0;Bumper
19805435181;T03_000142_HR_NFL_Micellair Core_AW_Mar23_Apr23_fullf_OMD_YouTube_Reach mix;0;0;0;Skippable in-stream + Bumper
19798852509;McDonald's Coffee & BF March 2023 (YT) - Reach mix - CPM;0;0;0;Skippable in-stream + Bumper
19793163832;McDonald's HM Super Mario March 2023 (YT) - Bumper - CPM;0;0;0;Bumper
19772422946;McDonald's McDelivery Mar 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19740882397;McDonald's Raise your arches Feb - Mar 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19731734529;T03_001584_HR_NFC_Q10 Expert_AW_Mar23_May23_fullf_OMD_YouTube_Reach mix;0;0;0;Skippable in-stream + Bumper
19711775518;Zott Jogobella Feb - Mar 2023 (YT) - CPV;0;0;0;Skippable in-stream
19711245541;McDonalds Breakfast&coffee Feb - Mar 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19707641229;McDonalds Employer image Feb - Mar 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19668093598;T03_000227_HR_NFC_Cellular Luminous 630_AW_Feb13_Mar26_2023_fullf_OMD_Trueview;0;0;0;Skippable in-stream
19651322788;McDonalds Maestro Burgeri Feb-Mar (YT) - CPM;0;0;0;Bumper
19620051322;Zott Belriso Jan - Feb 2023 (YT) - CPV;0;0;0;Skippable in-stream
19618685695;McDonalds Chicken Stripes Jan - Mar 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19596558162;McDonalds Breakfast Jan - Feb 2023 (YT) - Reach Mix -  CPM;0;0;0;Skippable in-stream + Bumper
19592723655;McDonalds Chicken Stripes Jan - Mar 2023 (YT) - Reach Mix - CPM - TotalBudget;0;0;0;Skippable in-stream + Bumper
19591261601;McDonalds_HM Teen Titans January 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19581223584;T03_001535_HR_NFL_Derma Skin Clear_AW_Jan23_Mar23_fullf_OMD_YouTube_Reach mix;0;0;0;Skippable in-stream + Bumper
19576645874;Zott Monte Jan - Feb 2023 (YT) - CPV;0;0;0;Skippable in-stream
19569525747;Zott Jogobella Jan - Feb 2023 (YT) - CPV;0;0;0;Skippable in-stream
19554334681;202301//Persil//Advanced 22//ExtraMile//Reach Mix;0;0;0;Skippable in-stream + Bumper
19538973557;McDonald's 1+1 Ponuda - January 2023 (YT) - Reach Mix - CPM;0;0;0;Skippable in-stream + Bumper
19538327951;T03_000161_HR_NFC_Cellular Expert Lift_AW_Jan23_Mar23_fullf_OMD_YouTube_Video preroll;0;0;0;Skippable in-stream
19538036627;T03_000055_HR_NBD_Body Milk_AW_Jan9_Mar12_fullf_OMD_YouTube_Reach mix;0;0;0;Skippable in-stream + Bumper
19531102299;T03_000161_HR_NFC_Cellular Expert Lift_AW_Jan23_Mar23_fullf_OMD_YouTube_Bumper;0;0;0;Bumper
21758681491;Loacker Sep - Nov 2024 (YT) - VVC - CPV;0;0;0;Skippable in-stream + In-feed + Shorts
21758664949;Loacker Sep - Nov 2024 (YT) - Reach Mix 2.0 - CPM;0;0;0;Skippable in-stream + In-feed + Bumper + Shorts
21717095233;Bison Poly Max September - October 2024 (YT) - Bumper - CPM;0;0;0;Bumper
23458704888;Audi Q5 E Hybrid Jan-Feb 2026 (YT) - Efficient reach - CPM;0;0;0;Skippable in-stream + Shorts
23458644936;Audi A6 E Hybrid Jan-Feb 2026 (YT) - Efficient reach - CPM;0;0;0;Skippable in-stream + Shorts
21916015888;Moon - YT - Q4 - View's  - 15112024-31112024;0;0;0;Skippable in-stream + In-feed + Shorts
21812779405;Finish PIP Oct - Dec 2024 (YT) - TrueView -  CPV;0;0;0;Skippable in-stream
21812779402;Finish PIP Oct - Dec 2024 (YT) - Non skippable - CPM;0;0;0;Non-skippable in-stream
21422169494;202406//got2b//got2b Styling TopSeller 2024//got2b Styling TopSeller 2024//video//Trueview;0;0;0;Non-skippable in-stream
21422169038;202406//got2b//got2b Styling TopSeller 2024//got2b Styling TopSeller 2024//video//Bumper;0;0;0;Bumper
21374779603;YT - Audi Facelift A3 - Limuzina - Reach - 2024;0;0;0;Skippable in-stream
21370708250;YT - Audi Facelift A3 - Allstreet - Reach - 2024;0;0;0;Skippable in-stream
21370667462;YT - Audi Facelift A3 - Sportback - Reach - 2024;0;0;0;Skippable in-stream
21333787622;Finish Additives Jun - Jul 2024 (YT) - TrueView - CPV;0;0;0;Skippable in-stream
21104909215;YouTube/Gvideo - Akcija poticaji - Reach - 16032024-29032024;0;0;0;Skippable in-stream
21076576549;Finish PIP Mar - May 2024 (YT) - TrueView -  CPV;0;0;0;Skippable in-stream
21066625629;Finish PIP Mar - May 2024 (YT) - Non skippable - CPM;0;0;0;Non-skippable in-stream
20958126667;GVideo/YouTube - Audi Edition 10 - Reach - 22012024-11022024;0;0;0;Skippable in-stream
20949456676;POR-Porsche-Audi-branded_video_kampanja-GVideo-NoLink-views-TOP-GEN-cro-HR-170112024-31012024;0;0;0;Skippable in-stream
20814515928;POR-Porsche-Audi-branded_video_kampanja-GVideo-NoLink-views-TOP-GEN-cro-HR-01122023-24122023;0;0;0;Skippable in-stream
20764464946;POR-Porsche-Audi-Audi_etron-GVideo-NoLink-views-TOP-GEN-cro-HR-11112023-24112023;0;0;0;Skippable in-stream
20592933581;Finish PIP October - December 2023 (YT) - Non skippable - CPM;0;0;0;Non-skippable in-stream
20592863939;Finish PIP October - December 2023 (YT) - TrueView -  CPV;0;0;0;Skippable in-stream
19993161003;POR-Porsche-Audi-Q8_e-tron-GVideo-NoLink-reach-TOP-GEN-cro-HR-20042023-03052023;0;0;0;Skippable in-stream + Bumper
19749019371;POR-Porsche-Audi-Audi_Edition10-GVideo-NoLink-reach-TOP-GEN-cro-HR-03032023-19032023;0;0;0;Skippable in-stream
19663668472;Finish - Finish & Bosch February - March 2023 (YT) - TrueView for Reach - CPM - 30 sec;0;0;0;Skippable in-stream
19656298743;Finish - Finish & Bosch February - March 2023 (YT) - TrueView for Reach - CPM - 10 sec;0;0;0;Skippable in-stream
21915258847;202408//Bref//SVR Core Power Active 24_7//Easier Way campaign//video//Bumper/Male;0;0;0;Bumper
21915258844;202408//Bref//SVR Core Power Active 24_7//Easier Way campaign//video//Bumper/Female;0;0;0;Bumper
21915258841;202408//Bref//SVR Core Power Active 24_7//Easier Way campaign//video//Trueview/Male;0;0;0;Non-skippable in-stream
21915258718;202408//Bref//SVR Core Power Active 24_7//Easier Way campaign//video//Trueview/Female;0;0;0;Non-skippable in-stream
21874430522;202410//Syoss Color//Syoss Oleo Intense Masterbrand Launch 2023//Launch Syoss Oleo Intense Masterbrand 2023//video//Bumper;0;0;0;Bumper
21867953730;202410//Syoss Color//Syoss Oleo Intense Masterbrand Launch 2023//Launch Syoss Oleo Intense Masterbrand 2023//video//Trueview;0;0;0;Non-skippable in-stream
21861219290;2024010//Perwoll//Glam 2024//RethinkNew//video//Trueview;0;0;0;Non-skippable in-stream
21854688450;2024010//Perwoll//Glam 2024//RethinkNew//video//Bumper;0;0;0;Bumper
21812557886;202410//Syoss Care//Syoss Care Masterbrand Intense Plex 2024//Launch Syoss Care Masterbrand Intense Plex 2024//video//Trueview;0;0;0;Non-skippable in-stream
21806047599;202410//Syoss Care//Syoss Care Masterbrand Intense Plex 2024//Launch Syoss Care Masterbrand Intense Plex 2024//video//Bumper;0;0;0;Bumper
21789252706;202410//Gliss//Gliss Brand Support 2024 (SKMB)//Gliss Night Elixir 2024//video//Bumper;0;0;0;Bumper
21785408351;202410//Gliss//Gliss Brand Support 2024 (SKMB)//Gliss Night Elixir 2024//video//Trueview;0;0;0;Non-skippable in-stream
21545634707;202408//Bref//SVR Core Power Active 24_7//Easier Way campaign//video//Trueview;0;0;0;Non-skippable in-stream
21539259045;202408//Bref//SVR Core Power Active 24_7//Easier Way campaign//video//Bumper;0;0;0;Bumper
21515901590;202407//Perwoll//Glam 2024//RethinkNew//video//Bumper;0;0;0;Bumper
21509559246;202407//Perwoll//Glam 2024//RethinkNew//video//Trueview;0;0;0;Non-skippable in-stream
21505536686;202407//Syoss Color//Syoss Color Brow Tint Relaunch 2022//Relaunch Syoss Color Brow Tint 2022//video//Bumper;0;0;0;Bumper
21505499924;202407//Syoss Color//Syoss Color Brow Tint Relaunch 2022//Relaunch Syoss Color Brow Tint 2022//video//Trueview;0;0;0;Non-skippable in-stream
21462221984;202407//Gliss//Gliss Brand Support 2024 (SKMB)//Gliss Jar TRT 2024//video//Bumper;0;0;0;Bumper
21455565981;202407//Gliss//Gliss Brand Support 2024 (SKMB)//Gliss Jar TRT 2024//video//Trueview;0;0;0;Non-skippable in-stream
21453009769;202407//Syoss Care//Syoss Care Keratin Hero 2024//Syoss Care Keratin Hero 2024//video//Bumper;0;0;0;Bumper
21448976528;202407//Syoss Care//Syoss Care Keratin Hero 2024//Syoss Care Keratin Hero 2024//video//Trueview;0;0;0;Non-skippable in-stream
21403475645;202406//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Bumper;0;0;0;Bumper
21397078011;202406//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Trueview;0;0;0;Non-skippable in-stream
21273026119;Demand_Gen_Refrigeration_Fridges_XXL_Hladnjaci_2024_HR_EUR;0;0;0;Skippable in-stream + In-feed + Shorts
21213075286;202404//OLV Syoss Color Masterbrand IntensePlex 15s//15sec//CPM//W25-54//trueview;0;0;0;Non-skippable in-stream
21213073591;202404//OLV Syoss Color Masterbrand IntensePlex Video/Bumper 6s//6sec//CPM//W25-54//bumper;0;0;0;Bumper
21198237048;202404//Syoss Care//Syoss Care Masterbrand Intense Plex 2024//Launch Syoss Care Masterbrand Intense Plex 2024//video//Trueview;0;0;0;Non-skippable in-stream
21198236826;202404//Syoss Care//Syoss Care Masterbrand Intense Plex 2024//Launch Syoss Care Masterbrand Intense Plex 2024/video//Bumper;0;0;0;Bumper
21173936534;202404//Gliss//Gliss Brand Support 2024 (SKMB)//Relaunch Gliss Shampoo 2024//video//Bumper;0;0;0;Bumper
21163831566;202404//Gliss//Gliss Brand Support 2024 (SKMB)//Relaunch Gliss Shampoo 2024//video//TrueView;0;0;0;Non-skippable in-stream
21120984626;Perwoll Glam Trueview//15 sec//CPM//W 25-54;0;0;0;Non-skippable in-stream
21120983915;Perwoll Glam Bumper//6 sec//CPM//W 25-54;0;0;0;Bumper
21102065191;Demand_Gen_LaundryCare_WashingMachines_Perilice_Sušilice_2023__HR_EUR;0;0;0;Skippable in-stream + In-feed + Shorts
21025183861;202402//Somat//Magnifier_Additives//Additives RL 2022//video//Trueview;0;0;0;Non-skippable in-stream
21025183807;202402//Somat//Magnifier_Additives//Additives RL 2022//video//Bumper;0;0;0;Bumper
20995001185;202401//Bref//SVR Spa Moments//Easier Way campaign//video//Bumper;0;0;0;Bumper
20994964006;202401//Bref//SVR Spa Moments//Easier Way campaign//video//Trueview;0;0;0;Non-skippable in-stream
20932805959;202401//Syoss Color//Syoss Color Baseline Recut 2023//Syoss Color Baseline Recut//video//Trueview//IntenseHairNoGrey;0;0;0;Non-skippable in-stream
20929401074;202401//Syoss Color//Syoss Color Baseline Recut 2023//Syoss Color Baseline Recut//video//Bumper//Brow Tint;0;0;0;Bumper
20922865149;202401//Syoss Color//Syoss Color Baseline Recut 2023//Syoss Color Baseline Recut//video//Bumper//IntenseHairNoGrey;0;0;0;Bumper
20922819024;202401//Syoss Color//Syoss Color Baseline Recut 2023//Syoss Color Baseline Recut//video//Trueview//BrowTint;0;0;0;Non-skippable in-stream
20920390013;202401//Gliss//Gliss Night Elixir Launch 2023//Launch Gliss Night Elixir 2023//video//TrueView;0;0;0;Non-skippable in-stream
20913808767;202401//Perwoll//Glow Relaunch 2022//Rethink Fashion//video//Bumper;0;0;0;Bumper
20913782520;202401//Perwoll//Glow Relaunch 2022//Rethink Fashion//video//Trueview;0;0;0;Non-skippable in-stream
20913778683;202401//Gliss//Gliss Night Elixir Launch 2023//Launch Gliss Night Elixir 2023//video//Bumper;0;0;0;Bumper
20875171898;202312//Syoss_BL_IntenseHairNoGrey//OLV6sec//CPM//W25-54//Bumper;0;0;0;Bumper
20868606678;202312//Syoss_BL_IntenseHairNoGrey//OLV15sec//CPM//W25-54//Trueview;0;0;0;Non-skippable in-stream
20768891983;202311//Syoss Oleo Intense Brow Tint 6s – OLV//Bumper 6sec;0;0;0;Bumper
20765104316;202311//OLV Syoss Oleo Brow Tint 15s – OLV//Trueview 15sec;0;0;0;Non-skippable in-stream
20761582954;202310//OLV Syoss Oleo Intense Masterbrand 15s – OLV//Trueview 15sec;0;0;0;Non-skippable in-stream
