Campaign;Campaign ID;Campaign type;Currency code;Age;Gender;Clicks;Impr.;Cost
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;In-stream video;EUR;25 - 34;Male;692;949,949;907.33
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;25 - 34;Male;689;487,986;1162.91
T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na;22310055769;In-stream video;EUR;35 - 44;Female;686;477,433;1215.11
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;35 - 44;Female;675;709,706;798.19
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;EUR;18 - 24;Female;664;535,227;618.74
Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;22135917811;In-stream video;EUR;35 - 44;Male;629;583,279;531.57
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;55 - 64;Male;617;288,911;602.68
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;45 - 54;Female;608;582,703;201.12
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;55 - 64;Male;601;438,159;453.55
Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;22135917811;In-stream video;EUR;45 - 54;Male;595;494,242;448.17
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;45 - 54;Male;584;656,026;704.5
Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;22135917811;In-stream video;EUR;35 - 44;Female;575;504,186;480.64
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;35 - 44;Male;568;967,653;278.85
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;35 - 44;Female;557;307,897;508.08
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;35 - 44;Male;557;402,807;945.2
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;EUR;55 - 64;Female;549;347,663;343.28
Pipi Jun - Aug 2025 (DN) - CPM;22765720285;Display;EUR;25 - 34;Male;536;691,119;150.63
Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;22135917811;In-stream video;EUR;25 - 34;Female;507;439,072;391.02
T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na;22310055769;In-stream video;EUR;45 - 54;Female;506;365,727;877.83
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;25 - 34;Female;479;262,250;423.77
Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;22135917811;In-stream video;EUR;45 - 54;Female;461;445,594;417.47
