Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
202504//Gliss//Gliss_CAR FH Wonder EU B 25//Gliss_CAR FH Wonder EU B 25//video//TrueView;22484022653;3.3;793,120
202503//Bref//TWC Cat Growth CX 24//Consumption campaign//video//Trueview;22332695936;3.8;816,159
202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Trueview//W25-54;22082345952;3.3;1,042,468
202504//Syoss Color//Syoss_COL Keratin RL 25//Syoss_COL Keratin RL 25//video//Trueview;22533659230;3.4;710,249
202506//Gliss//Gliss_CAR Liquid Silk LX 24//Gliss_CAR Liquid Silk LX//video//Bumper;22629474629;2.3;553,174
202503//Bref//TWC Cat Growth CX 24//Consumption campaign//video//Bumper;22326129339;3.6;1,004,378
202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Trueview;22642352104;2.6;616,136
202501//Syoss Care//Syoss Care Masterbrand Intense Plex 2024//Launch Syoss Care Masterbrand Intense Plex 2024//video//Trueview;22082564343;1.6;177,029
202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Bumper//W25-54;22082451351;3.2;1,213,142
202501//Syoss Color//SK Color Oleo Intense 2024//SK Color Oleo Intense 2024//video//Trueview;22142591751;1.8;264,373
PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight;22405006700;6.2;543,087
202505//Perwoll//Perwoll_FCA Touch of New B 25//Touch of New//Trueview;22658175089;2.7;762,177
GDN_GDN_Range_nd_Bosch Kuhaj zdravo_Promocija_HR;21975804918;5.7;452,838
XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight;22562643721;3.4;483,136
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Trueview;22082603646;1.4;194,203
202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Trueview;22540518399;3.1;604,267
202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Bumper;22131389199;1.6;207,663
Saponia Nila May 2025 (YT) - CPM;22500191490;3;841,409
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;1.9;326,208
202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Bumper;22540555902;3.5;517,186
Saponia Ornel Nagradna Igra BiH Jun - Jul 2025 (DN) - CPC;22632811349;6.3;754,134
202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Trueview;22137629441;1.7;211,555
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Bumper;22088751497;1.5;181,031
Saponia Ornel + Kaufland May 2025 (DN) - CPM;22559665570;5.2;331,168
Saponia Likvi BiH Apr - May 2025 (YT) - CPM;22400193514;7.2;1,299,939
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview;22339790134;2.8;812,108
Saponia Faks penta cups - Apr - Jun 2025 (YT) - CPM;22434562305;3.8;850,379
Saponia Ornel CRO Apr 2025 (DN) - CPM;22448486639;5.3;343,588
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper;22339783192;3.3;787,770
BoxNow May - Jun 2025 (YT) - Reach Mix - CPM;22585304100;3.8;1,337,118
Saponia Likvi CRO Apr - May 2025 (YT) - CPM;22396650401;5.5;1,278,135
Saponia Ornel Nagradna igra May - Jun 2025 (DN) - CPC;22588501345;6.7;948,382
VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025._2;22445866454;4.9;90,892
DG_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025;22425862319;9.5;410,522
VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_SLO;22691380071;3.6;467,934
UHU Super Glue Control April 2025 (YT) - Bumper - CPM;22424964895;4.3;1,012,957
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_1.5.-15.6.;22489118778;2.4;298,590
DG_OMD_HR-HR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.4.-15.6.;22453368902;16.1;190,023
DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22248624606;3.5;285,582
DG_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_CRM_Newsletter_27.5.-16.6.2025.;22605732707;9.4;259,470
fungilac_march_2025_display_cpm;22391274867;10.5;1,182,585
Rio Mare For Oceans Jun 2025 (YT) - Bumper;22623027750;2.1;666,161
PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22689449956;;
reflustat_march_2025_youtube_fc_cpm;22357797015;9.1;670,613
VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025.;22419253848;3.1;731,920
VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_17.02.-14.04.;22255099322;1.9;377,121
VID_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_8.4.-30.6.2025;22429388089;5.6;1,071,094
DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22679748705;3;283,565
