Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
UHU BTS Aug - Sep 2025 (YT) - Bumper - CPM;22914435242;4.3;518,210
DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22679748705;6.5;608,709
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;;
Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025;22418606613;1.6;472,309
reflustat_september_2025_youtube_fc_cpm;23024710483;3.6;277,011
T03_001637_HR_NFC_Q10UVSerum_AW_Jul25_Aug25_fullf_OMD_DigGR_VRC;22759159350;4.7;1,286,156
T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;22642276246;2.8;768,229
McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper;22994092464;2.4;903,015
Nissan QQ July 2025 - Performance Max;22769359148;;
McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - Bumper;22684499418;5.8;1,509,901
T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;22601582282;1.5;246,025
T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_Shorts;22551605888;2.9;38,024
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;22609346806;2.8;799,397
Zott Hungry May - Jul 2025 (YT) - Reach Mix;22588201807;2.2;747,993
Zott Protein Sep - Oct 2025 (YT) - Bumper - CPM;23008688854;2.4;312,520
T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_TrueView;22545157905;3;512,238
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;22605577634;3.1;915,208
McDonald's 1+1 May-Aug 2025 (YT) - Bumper;22577658432;2.5;957,976
McDonald's Pistachio Desert II June - August 2025 (YT) - CPV;22706177735;2.3;449,131
McDonald's McCrispy AO Aug - Sep 2025 (YT) - Bumper;22892098685;3.1;1,006,286
Zott Protein Sep - Oct 2025 (DN) - CPM;23008688608;4.8;386,321
McDonald's Employer Image - June - August 2025 Performance Max - CPA;22681905575;;
