Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
Borotalco Pure June 2025 (Bumper);Borotalco EUR;22711295453;1,035,204;2.3
Borotalco Men Aug - Sep 2025 (CPM) - Bumper;Borotalco EUR;22928971609;792,454;2.4
Borotalco Pure June 2025 (CPV);Borotalco EUR;22714966255;919,833;5.9
Borotalco Men Aug - Sep 2025 (CPV) - VVC;Borotalco EUR;22919079036;554,630;3.7
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;23012659355;627,998;2.1
Loacker Sep - Oct 2025 (YT) - VVC - CPV;Loacker EUR;23016634492;168,181;2.1
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;HR_EUCERIN_Google Ads_OMD_Video;22637317905;350,727;2.3
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;HR_EUCERIN_Google Ads_OMD_Video;22643474570;559,885;1.7
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;HR_EUCERIN_Google Ads_OMD_Video;22643359196;410,408;1.5
VID_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips_SLO;23034204641;149,227;2
PMAX_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_05.09.-15.10.;Philips Serbia DAN;22986885344;;
DG_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips_SLO;23038253197;73,534;4.6
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_teens_05.09.-15.10.;Philips Serbia DAN;22986865835;306,807;3.1
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;Philips Serbia DAN;22973430471;1,610,308;3.2
VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_parents_05.09.-15.10.;Philips Serbia DAN;22986865838;551,773;1.8
VID_OMD_RS-SR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;Philips Serbia DAN;22737245028;2,710,957;4.5
