Ad format	Campaign	Campaign ID	Avg. impr. freq. / user	Unique users
Bumper	McDonald's McCrispy AO Aug - Sep 2025 (YT) - Bumper	22892098685	2.5	695,031
Skippable in-stream	McDonald's McCrispy AO Aug - Sep 2025 (YT) - CPV	22886402763	2.7	446,812
Skippable in-stream	McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV	22872439121	1.5	154,108
In-feed	McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV	22872439121	1	276
Shorts	McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV	22872439121		
In-feed	McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper	22866665976	1.1	124,398
Bumper	McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper	22866665976	1.1	129,245
Skippable in-stream	McDonald's McNuggets II July - August 2025 - CPV	22818941470	2	449,677
In-feed	McDonald's McNuggets II July - August 2025 - CPV	22818941470	1.6	141,393
Shorts	McDonald's McNuggets II July - August 2025 - CPV	22818941470	1.9	129,273
In-feed	McDonald's McNuggets II July - August 2025 - Bumper	22809289179	1.5	426,595
Bumper	McDonald's McNuggets II July - August 2025 - Bumper	22809289179	1.7	575,870
Skippable in-stream	lactogyn_june_2025_youtube_cpm	22797176144		
Shorts	lactogyn_june_2025_youtube_cpm	22797176144	0.9	94
Skippable in-stream	lactogyn_june_2025_youtube_fc_cpm	22791527244	6.8	593,731
Skippable in-stream	McDonald's HM Lil McD's July 2025 (YT) - CPV	22784870398	1.7	388,323
Bumper	McDonald's HM Lil McD's July 2025 (YT) - Bumper	22775346894	1.3	399,058
In-feed	McDonald's Mixology July 2025 (YT) - Bumper	22765251787	1.2	293,610
Bumper	McDonald's Mixology July 2025 (YT) - Bumper	22765251787	1.4	375,337
Skippable in-stream	McDonald's Mixology July 2025 (YT) - CPV	22761591506	1.6	301,148
Skippable in-stream	McDonald's Breakfast July - September 2025 (YT) - CPV	22743236866	2.2	448,206
In-feed	McDonald's McCrispy July 2025 (YT) - Bumper	22742489014	1.4	568,490
Bumper	McDonald's McCrispy July 2025 (YT) - Bumper	22742489014	1.8	716,598
In-feed	McDonald's Breakfast July - September 2025 (YT) - Bumper	22739492762	1.7	520,968
Bumper	McDonald's Breakfast July - September 2025 (YT) - Bumper	22739492762	1.8	493,401
In-feed	McDonald's McDelivery July - September 2025 (YT) - Bumper	22739006393	2	698,764
Bumper	McDonald's McDelivery July - September 2025 (YT) - Bumper	22739006393	2.3	758,867
Skippable in-stream	McDonald's McCrispy July 2025 (YT) - CPV	22738912700	1.9	483,314
In-feed	McDonald's IceCoffe June - August 2025 (YT) - Bumper	22738859515	1.7	736,290
Bumper	McDonald's IceCoffe June - August 2025 (YT) - Bumper	22738859515	2	841,653
In-feed	JGL Muzej farmacije TUR Jul - Aug 2025 (DG) - CPC	22738852523	3.2	239,015
Shorts	JGL Muzej farmacije TUR Jul - Aug 2025 (DG) - CPC	22738852523	1.1	105
In-feed	JGL Muzej farmacije HR Jul - Aug 2025 (DG) - CPC	22738795586	2.7	182,034
Shorts	JGL Muzej farmacije HR Jul - Aug 2025 (DG) - CPC	22738795586	1.4	243
Skippable in-stream	McDonald's Maestro III June-August 2025 (YT) - CPV	22738216012	2.1	579,392
In-feed	McDonald's Maestro III June-August 2025 (YT) - Bumper	22738160776	1.7	754,853
Bumper	McDonald's Maestro III June-August 2025 (YT) - Bumper	22738160776	2.1	838,094
In-feed	McDonald's Coffee July - September 2025 (YT) - Bumper	22733055054	2.4	681,852
Bumper	McDonald's Coffee July - September 2025 (YT) - Bumper	22733055054	2.5	613,332
Skippable in-stream	McDonald's Coffee July - September 2025 (YT) - CPV	22733053338	2.3	451,914
Skippable in-stream	McDonald's McDelivery July - September 2025 (YT) - CPV	22732857306	2.3	548,562
Skippable in-stream	McDonald's Grimace May - July 2025 (YT) - CPV	22728306162	2.9	457,169
Skippable in-stream	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.	22725272300	1.3	150,718
In-feed	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.	22725272300	1.6	163,327
Bumper	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.	22725272300	1.7	523,945
Shorts	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.	22725272300	2.2	267,616
In-feed	McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper	22710122542	1.5	624,657
Bumper	McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper	22710122542	1.7	597,620
Skippable in-stream	McDonald's Pistachio Desert II June - August 2025 (YT) - CPV	22706177735	2.3	449,131
Skippable in-stream	McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - CPV	22684510476	2.7	743,494
In-feed	McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - Bumper	22684499418	5.1	1,350,836
Bumper	McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - Bumper	22684499418	2.3	815,134
In-feed	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.	22679748705	6.4	607,549
Shorts	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.	22679748705	3.1	7,947
Skippable in-stream	Zott Hungry May - Jul 2025 (YT) - Reach Mix	22588201807	1.8	382,506
In-feed	Zott Hungry May - Jul 2025 (YT) - Reach Mix	22588201807		
Bumper	Zott Hungry May - Jul 2025 (YT) - Reach Mix	22588201807	1.9	521,472
Shorts	Zott Hungry May - Jul 2025 (YT) - Reach Mix	22588201807		
Skippable in-stream	McDonald's 1+1 May-Aug 2025 (YT) - CPV	22577682633	2.4	570,986
In-feed	McDonald's 1+1 May-Aug 2025 (YT) - Bumper	22577658432	1.8	632,790
Bumper	McDonald's 1+1 May-Aug 2025 (YT) - Bumper	22577658432	2	631,363
Bumper	Zott Monte May - Jul 2025 (YT) - Bumper - CPM	22554802796	1.8	410,461
Shorts	Zott Monte May - Jul 2025 (YT) - Bumper - CPM	22554802796	1.6	130,712
Skippable in-stream	Zott Monte May - Jul 2025 (YT) - TrueView - CPV	22548433632	2.7	376,882
In-feed	Zott Monte May - Jul 2025 (YT) - TrueView - CPV	22548433632	2.2	83,141
Shorts	Zott Monte May - Jul 2025 (YT) - TrueView - CPV	22548433632	2.1	40,710
In-feed	VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514122692	1.2	15,607
Bumper	VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514122692	1.1	87,813
Shorts	VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514122692	1.3	59,499
In-feed	DG_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514121090	2	149,884
Shorts	DG_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.	22514121090	2.4	11,847
Skippable in-stream	Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025	22418606613	1.2	256,070
In-feed	Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025	22418606613	1.3	81,056
Shorts	Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025	22418606613	1.7	195,516
Skippable in-stream	fungilac_march_2025_youtube_fc_cpm	22397772365	3.8	311,343
