Ad format,Campaign,Campaign ID,Avg. impr. freq. / user,Unique users
Shorts,Audi Q3 Nov - Dec 2025 - (YT)  Efficient reach - CPM,23227314390,2.7,346791.0
In-feed,Kaufland - Impuls - Red Bull Symphonic - Nov 2025 (DG) - CPC,23224632388,4.1,585969.0
Shorts,Kaufland - Impuls - Red Bull Symphonic - Nov 2025 (DG) - CPC,23224632388,4.8,88883.0
Skippable in-stream,Kaufland - Image - CSR - IT Bags - Nov 2025 (YT) - VVC,23223863253,1.9,71572.0
Shorts,Kaufland - Image - CSR - IT Bags - Nov 2025 (YT) - VVC,23223863253,2.2,84146.0
Non-skippable in-stream,Finish Reckitt PIP Nov 2025 (YT) - CPM - Retargeting,23223501740,2.7,302694.0
Skippable in-stream,Porsche DWA Oct - Dec 2025 (DG) - CPC,23205620765,4.2,149274.0
In-feed,Porsche DWA Oct - Dec 2025 (DG) - CPC,23205620765,3.4,243632.0
Shorts,Porsche DWA Oct - Dec 2025 (DG) - CPC,23205620765,4.4,34477.0
Skippable in-stream,Porsche DWA Oct - Dec 2025 (YT) - Efficient reach - CPM,23205520748,2.8,613466.0
In-feed,Porsche DWA Oct - Dec 2025 (YT) - Efficient reach - CPM,23205520748,1.8,572469.0
Shorts,Porsche DWA Oct - Dec 2025 (YT) - Efficient reach - CPM,23205520748,3.3,408726.0
Skippable in-stream,Finish Reckitt PIP Nov 2025 (YT) - CPV,23204324852,3.7,491014.0
Skippable in-stream,Audi Zupčasti remen Oct - Dec 2025 (DG) - CPC,23178401984,2.0,76732.0
In-feed,Audi Zupčasti remen Oct - Dec 2025 (DG) - CPC,23178401984,3.8,644434.0
Shorts,Audi Zupčasti remen Oct - Dec 2025 (DG) - CPC,23178401984,5.9,85565.0
Skippable in-stream,Audi Metlice Oct - Dec 2025 (DG) - CPC,23172640507,2.7,184948.0
In-feed,Audi Metlice Oct - Dec 2025 (DG) - CPC,23172640507,1.4,85419.0
Shorts,Audi Metlice Oct - Dec 2025 (DG) - CPC,23172640507,1.4,4909.0
Skippable in-stream,Finish Reckitt PIP Oct 2025 (YT) - CPV,23156802396,2.5,347509.0
In-feed,Finish Reckitt PIP Oct 2025 (YT) - CPV,23156802396,,
Skippable in-stream,Audi Gume Oct - Dec 2025 (DG) - CPC,23151461725,2.1,33817.0
In-feed,Audi Gume Oct - Dec 2025 (DG) - CPC,23151461725,4.0,365290.0
Shorts,Audi Gume Oct - Dec 2025 (DG) - CPC,23151461725,7.2,91592.0
Skippable in-stream,Kaufland - Image - Kaufland Card Rođendan - Oct - Nov 2025 (YT) - VVC,23129909181,2.3,337994.0
In-feed,Kaufland - Image - Kaufland Card Rođendan - Oct - Nov 2025 (YT) - VVC,23129909181,3.4,324964.0
Shorts,Kaufland - Image - Kaufland Card Rođendan - Oct - Nov 2025 (YT) - VVC,23129909181,2.3,128609.0
Skippable in-stream,Porsche Moon Oct - Dec 2025 - (YT) - VVC,23095969598,4.1,718196.0
In-feed,Porsche Moon Oct - Dec 2025 - (YT) - VVC,23095969598,2.6,107131.0
Shorts,Porsche Moon Oct - Dec 2025 - (YT) - VVC,23095969598,2.6,15257.0
In-feed,Porsche Moon Oct - Dec 2025 - (DG) - CPC,23095969412,6.5,693293.0
In-feed,Demand_Gen_IndoorCleaning_Robot_2025_Usisavač_HR,23073689005,8.0,1293205.0
Shorts,Demand_Gen_IndoorCleaning_Robot_2025_Usisavač_HR,23073689005,9.4,288217.0
Skippable in-stream,Demand_Gen_DishCare_Dishwashers_2025_Finish_HR,23069848067,2.0,46403.0
In-feed,Demand_Gen_DishCare_Dishwashers_2025_Finish_HR,23069848067,5.4,776882.0
Shorts,Demand_Gen_DishCare_Dishwashers_2025_Finish_HR,23069848067,10.2,110395.0
In-feed,Kaufland - Impuls - NEO konkurencija - Stoti kupac - Jankomir - Oct 2025 (DG) - CPC,23068292085,1.9,141384.0
Skippable in-stream,Demand_Gen_IndoorCleaning_VacuumCleaners_Unlimited10_HR,23067963990,1.5,39355.0
In-feed,Demand_Gen_IndoorCleaning_VacuumCleaners_Unlimited10_HR,23067963990,11.8,955603.0
Shorts,Demand_Gen_IndoorCleaning_VacuumCleaners_Unlimited10_HR,23067963990,4.7,144495.0
