Account,Brand,Campaign,Ad_Format,Cost_Parsed,Campaign ID
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen PHEV Sep - Oct 2025 (PMAX) - CPA,PMax,2997.34,23005255190
HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn,Bosch,MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL,Demand Gen,2993.37,23337586207
Porsche Osobna Vozila,Porsche,Porsche Pia Nov 2025 (PMAX) - CPA,PMax,2985.2,23218775703
McDonald's EUR,McDonald's,McDonald's Employer Image III Aug - Sep 2025 (Performance Max) - CPA,PMax,2978.72,22927005302
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Tayron - April/May 2025 (DG) - CPC,Demand Gen,2950.33,22414635975
Porsche Osobna Vozila,Porsche,Porsche Pia Oct 2025 (PMAX) - CPA,PMax,2950.05,23086685202
Porsche Škoda 2023,Porsche,Škoda Superb PHEV August 2025 (DG) - CPC,Demand Gen,2949.93,22841776748
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen PHEV Jun-Aug 2025 (DG) - CPC,Demand Gen,2942.2,22719192229
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Gume Oct - Dec 2025 (DG) - CPC,Demand Gen,2889.88,23160958240
Porsche Škoda 2023,Porsche,Škoda Gume Oct - Dec 2025 (PMAX) - CPA,PMax,2764.82,23156041838
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Gume Mar - Apr 2025 (PMAX) - CPA,PMax,2719.9,22364219464
Porsche Volkswagen osobna vozila 2023,Porsche,Volkswagen Tayron - April/May 2025 (PMAX) - CPA,PMax,2591.78,22421702528
Porsche Moon 2023,Porsche,Porsche Moon Oct - Dec 2025 - (DG) - CPC,Demand Gen,2499.34,23095969412
Porsche Škoda 2023,Porsche,Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC,Demand Gen,2489.27,23196329174
Porsche Audi 2023,Porsche,Audi Gume Oct - Dec 2025 (PMAX) - CPA,PMax,2482.07,23147040878
Porsche Škoda 2023,Porsche,Škoda Zupčasti remen Oct - Dec 2025 (PMAX) - CPA,PMax,2411.44,23196338093
Porsche Cupra 2023,Porsche,Cupra Formentor PHEV - May - Jun 2025 (PMAX) - CPA,PMax,2332.0,22596409384
Porsche Škoda 2023,Porsche,Škoda Gume Mar - Apr 2025 (PMAX) - CPA,PMax,2310.17,22354172118
HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn,Bosch,Demand_Gen_LaundryCare_WashingMachines_Perilice_Sušilice_2024__HR_EUR,Demand Gen,2300.02,21768225276
Porsche Audi 2023,Porsche,Audi Zupčasti remen Oct - Dec 2025 (PMAX) - CPA,PMax,2264.06,23182802566
HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn,Bosch,Demand_Gen_IndoorCleaning_VacuumCleaners_2024_Unlimited 7_HR,Demand Gen,2200.12,21782237668
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.,Demand Gen,2199.98,22514121090
Porsche Cupra 2023,Porsche,Cupra Formentor PHEV - Mar-Apr 2025 (DG) - CPC,Demand Gen,2189.84,22359572836
Philips Hrvatska EUR,Philips,DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_DG_1.11.-31.12.2025.,Demand Gen,2182.94,23232127389
