Ad format;Campaign;Account;Campaign ID;Clicks;CTR;Impr.;Avg. CPC;Avg. CPM;TrueView views;TrueView avg. CPV;Cost;Conversions;Cost / conv.
Bumper;Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;22162051863;384;0.04%;1,042,899;2.12;0.78;0;0;814.56;0;0
Shorts;Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;Loacker EUR;22162051863;989;0.12%;823,803;0.3;0.36;23,682;0.01;293.43;0;0
Skippable in-stream;Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach;Dr.Oetker EUR;23304217610;593;0.08%;734,355;2.53;2.04;240,610;0.01;1497.68;0;0
In-feed;Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach;Dr.Oetker EUR;23304217610;6;0.00%;292,834;25.72;0.53;5,162;0.03;154.33;0;0
Shorts;Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach;Dr.Oetker EUR;23304217610;1,041;0.14%;741,987;0.54;0.75;13,756;0.04;557.2;0;0
Skippable in-stream;VID_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;Philips_SLO;23283992828;181;0.08%;229,252;2.83;2.23;91,111;0.01;511.36;13.87;36.87
In-feed;VID_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;Philips_SLO;23283992828;5;0.00%;557,575;56.13;0.5;13,699;0.02;280.64;1.24;226.68
Bumper;VID_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;Philips_SLO;23283992828;374;0.08%;462,062;2.4;1.94;0;0;897.94;3;299.07
Shorts;VID_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;Philips_SLO;23283992828;289;0.08%;384,279;1.13;0.85;4,795;0.07;325.42;43.09;7.55
Skippable in-stream;VID_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;Philips Serbia DAN;23283969599;986;0.14%;694,916;0.51;0.72;296,203;0;498.32;34.06;14.63
In-feed;VID_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;Philips Serbia DAN;23283969599;48;0.00%;1,129,621;4.9;0.21;24,469;0.01;235.33;45.84;5.13
Bumper;VID_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;Philips Serbia DAN;23283969599;1,503;0.11%;1,380,589;0.56;0.61;0;0;844.69;9;93.85
Shorts;VID_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;Philips Serbia DAN;23283969599;1,512;0.17%;915,373;0.28;0.46;16,621;0.03;423.39;255.37;1.66
Skippable in-stream;VID_OMD_RS-SR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;Philips Serbia DAN;23237577731;614;0.12%;495,498;0.99;1.22;199,794;0;606.63;18.13;33.47
In-feed;VID_OMD_RS-SR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;Philips Serbia DAN;23237577731;56;0.01%;933,537;5.97;0.36;18,064;0.02;334.53;21;15.93
Bumper;VID_OMD_RS-SR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;Philips Serbia DAN;23237577731;2,138;0.17%;1,234,716;0.53;0.92;0;0;1130.65;10;113.07
Shorts;VID_OMD_RS-SR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;Philips Serbia DAN;23237577731;1,754;0.22%;781,354;0.24;0.53;14,904;0.03;414.26;69;6
Skippable in-stream;VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;Philips_SLO;23237577080;154;0.12%;126,452;2.9;3.53;42,127;0.01;446.45;12.38;36.05
In-feed;VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;Philips_SLO;23237577080;2;0.00%;264,322;115.29;0.87;6,255;0.04;230.58;13.37;17.25
Bumper;VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;Philips_SLO;23237577080;216;0.12%;179,900;2.55;3.06;0;0;550.76;2;274.76
Shorts;VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;Philips_SLO;23237577080;390;0.21%;189,809;0.44;0.91;2,101;0.08;172.82;6.85;25.24
Skippable in-stream;VID_OMD_RS-SR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;Philips Serbia DAN;23237376398;1,513;0.10%;1,476,928;0.87;0.89;490,160;0;1318.44;43.87;30.05
In-feed;VID_OMD_RS-SR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;Philips Serbia DAN;23237376398;23;0.00%;931,817;9.35;0.23;11,706;0.02;215.1;17;12.65
Shorts;VID_OMD_RS-SR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;Philips Serbia DAN;23237376398;1,744;0.18%;973,640;0.27;0.48;13,868;0.03;468.43;70.91;6.61
Skippable in-stream;VID_OMD_SI-SL_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;Philips_SLO;23232282903;248;0.07%;332,235;3.09;2.31;109,043;0.01;766.99;7.74;99.06
In-feed;VID_OMD_SI-SL_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;Philips_SLO;23232282903;1;0.00%;359,039;124.6;0.35;2,837;0.04;124.6;3;41.53
Shorts;VID_OMD_SI-SL_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;Philips_SLO;23232282903;266;0.15%;179,579;0.41;0.61;1,454;0.08;110.07;9;12.23
Skippable in-stream;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Teens_1.11.-12.12.2025.;Philips_SLO;23209598329;309;0.19%;158,995;1.93;3.75;38,799;0.02;596.75;2;298.37
In-feed;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Teens_1.11.-12.12.2025.;Philips_SLO;23209598329;15;0.01%;219,687;11.63;0.79;6,534;0.03;174.42;4;43.61
Bumper;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Teens_1.11.-12.12.2025.;Philips_SLO;23209598329;266;0.17%;157,890;2.07;3.49;0;0;550.45;4;137.61
Shorts;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Teens_1.11.-12.12.2025.;Philips_SLO;23209598329;80;0.10%;81,700;1.37;1.34;854;0.13;109.69;2;54.84
Skippable in-stream;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Parents_1.11.-12.12.2025.;Philips_SLO;23200213176;163;0.10%;156,302;3.71;3.87;47,811;0.01;604.11;12.92;46.74
In-feed;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Parents_1.11.-12.12.2025.;Philips_SLO;23200213176;9;0.00%;271,376;20.89;0.69;6,006;0.03;188.02;8;23.5
Bumper;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Parents_1.11.-12.12.2025.;Philips_SLO;23200213176;164;0.11%;148,609;3.02;3.34;0;0;496;1.98;250.16
Shorts;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Parents_1.11.-12.12.2025.;Philips_SLO;23200213176;227;0.13%;178,377;0.94;1.19;2,705;0.08;212.78;46;4.63
Skippable in-stream;VID_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips Serbia DAN;23172866092;701;0.09%;795,007;0.98;0.86;303,283;0;687.33;20.75;33.13
In-feed;VID_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips Serbia DAN;23172866092;24;0.00%;1,173,802;10.27;0.21;23,942;0.01;246.56;24.01;10.27
Bumper;VID_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips Serbia DAN;23172866092;646;0.06%;1,140,172;1.07;0.61;0;0;691.34;11;62.85
Shorts;VID_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips Serbia DAN;23172866092;2,980;0.23%;1,303,827;0.16;0.36;24,185;0.02;473.07;106.63;4.44
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;Philips Serbia DAN;23171314950;2,029;0.12%;1,639,404;0.51;0.64;711,861;0;1041.03;85.56;12.17
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;Philips Serbia DAN;23171314950;22;0.00%;1,112,315;7.25;0.14;9,512;0.02;159.51;9.74;16.37
Skippable in-stream;VID_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips_SLO;23168273492;120;0.04%;287,085;5.84;2.44;106,134;0.01;701.17;16.5;42.51
In-feed;VID_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips_SLO;23168273492;1;0.00%;576,104;261.66;0.45;9,587;0.03;261.66;13.24;19.76
Bumper;VID_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips_SLO;23168273492;147;0.04%;327,753;4.44;1.99;0;0;652.69;8;81.59
Shorts;VID_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips_SLO;23168273492;531;0.13%;408,596;0.54;0.7;5,896;0.05;286.39;82.67;3.46
Skippable in-stream;VID_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips Serbia DAN;23162921025;874;0.10%;914,503;0.8;0.76;313,245;0;698.33;12;58.19
In-feed;VID_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips Serbia DAN;23162921025;37;0.01%;722,354;5;0.26;15,501;0.01;184.97;1.23;150.52
Bumper;VID_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips Serbia DAN;23162921025;896;0.17%;528,076;0.31;0.53;0;0;280.87;2;140.43
Shorts;VID_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;Philips Serbia DAN;23162921025;1,479;0.33%;446,549;0.13;0.42;10,747;0.02;188.4;9.47;19.9
Skippable in-stream;VID_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.2025.;Philips Serbia DAN;23155285862;2,830;0.20%;1,390,191;0.56;1.14;376,051;0;1588.35;72.68;21.86
In-feed;VID_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.2025.;Philips Serbia DAN;23155285862;33;0.00%;737,912;6.89;0.31;13,550;0.02;227.31;18.66;12.18
Shorts;VID_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.2025.;Philips Serbia DAN;23155285862;984;0.19%;513,878;0.29;0.55;7,171;0.04;284.39;18.99;14.98
Skippable in-stream;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;Philips_SLO;23136133814;146;0.05%;265,634;4.2;2.31;86,070;0.01;612.54;8.02;76.34
In-feed;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;Philips_SLO;23136133814;5;0.00%;653,266;52.68;0.4;13,592;0.02;263.38;9;29.26
Bumper;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;Philips_SLO;23136133814;307;0.06%;532,915;3.29;1.9;0;0;1010.29;2;505.14
Shorts;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;Philips_SLO;23136133814;219;0.03%;641,045;2.57;0.88;6,137;0.09;562.31;41;13.71
Skippable in-stream;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;Philips Serbia DAN;23130385353;664;0.14%;463,755;0.45;0.65;152,969;0;301.5;16.24;18.57
In-feed;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;Philips Serbia DAN;23130385353;2;0.00%;1,561,446;149.54;0.19;28,413;0.01;299.08;5.01;59.74
Bumper;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;Philips Serbia DAN;23130385353;855;0.06%;1,467,471;0.84;0.49;0;0;721.28;0;0
Shorts;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;Philips Serbia DAN;23130385353;1,755;0.10%;1,685,800;0.44;0.46;20,497;0.04;780.5;43;18.15
Skippable in-stream;VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;Philips Serbia DAN;23070220712;498;0.12%;408,057;0.52;0.64;129,734;0;259.9;14;18.56
In-feed;VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;Philips Serbia DAN;23070220712;15;0.00%;562,870;7.57;0.2;10,388;0.01;113.49;1;113.49
Bumper;VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;Philips Serbia DAN;23070220712;925;0.16%;586,440;0.32;0.5;0;0;295.97;0;0
Shorts;VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;Philips Serbia DAN;23070220712;1,278;0.41%;309,748;0.09;0.39;6,871;0.02;121.24;0;0
In-feed;VID_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips_SLO;23034204641;13;0.00%;488,267;19.44;0.52;8,657;0.03;252.74;38.7;6.53
Bumper;VID_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips_SLO;23034204641;485;0.08%;586,184;3.28;2.71;0;0;1591.44;2.39;665.25
Shorts;VID_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips_SLO;23034204641;446;0.17%;258,360;0.53;0.92;3,929;0.06;236.76;20.15;11.75
Skippable in-stream;VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips Serbia DAN;23034172058;612;0.10%;606,939;0.98;0.99;177,243;0;601.79;30.02;20.05
In-feed;VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips Serbia DAN;23034172058;93;0.01%;1,442,433;3.9;0.25;17,624;0.02;362.9;34.21;10.61
Bumper;VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;Philips Serbia DAN;23034172058;1,868;0.13%;1,470,380;0.61;0.77;0;0;1135.03;26.84;42.3
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_parents_05.09.-15.10.;Philips Serbia DAN;22986865838;1,696;0.18%;922,954;0.6;1.1;252,561;0;1015.01;29.73;34.14
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_parents_05.09.-15.10.;Philips Serbia DAN;22986865838;16;0.00%;502,563;11.58;0.37;9,506;0.02;185.22;5;37.04
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_teens_05.09.-15.10.;Philips Serbia DAN;22986865835;1,488;0.24%;629,490;0.4;0.95;165,331;0;600.11;19.01;31.57
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_teens_05.09.-15.10.;Philips Serbia DAN;22986865835;29;0.01%;547,083;4.99;0.26;7,743;0.02;144.7;0.99;145.95
Bumper;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_teens_05.09.-15.10.;Philips Serbia DAN;22986865835;595;0.19%;317,379;0.43;0.8;0;0;255.22;0;0
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;Philips Serbia DAN;22973430471;854;0.11%;802,211;0.9;0.96;245,751;0;767.4;32.97;23.28
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;Philips Serbia DAN;22973430471;45;0.00%;1,670,647;9.34;0.25;30,683;0.01;420.3;38;11.06
Bumper;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;Philips Serbia DAN;22973430471;1,558;0.09%;1,694,970;0.77;0.71;0;0;1196.37;16.35;73.15
Shorts;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;Philips Serbia DAN;22973430471;2,177;0.16%;1,371,864;0.28;0.45;20,347;0.03;615.88;140.64;4.38
Skippable in-stream;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;Philips_SLO;22747183861;177;0.11%;167,760;2.31;2.43;49,172;0.01;408.47;10.03;40.72
In-feed;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;Philips_SLO;22747183861;9;0.00%;403,487;18.44;0.41;14,426;0.01;165.99;9;18.44
Bumper;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;Philips_SLO;22747183861;789;0.13%;594,366;1.48;1.97;0;0;1170.67;4.64;252.44
Shorts;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;Philips_SLO;22747183861;354;0.11%;313,171;0.64;0.73;3,482;0.07;228.24;18;12.68
Skippable in-stream;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;Philips Serbia DAN;22737245028;1,413;0.08%;1,822,912;1.44;1.12;641,810;0;2038.8;29.05;70.19
In-feed;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;Philips Serbia DAN;22737245028;158;0.00%;4,029,590;5.65;0.22;87,807;0.01;893.28;19.64;45.49
Bumper;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;Philips Serbia DAN;22737245028;10,550;0.21%;5,065,238;0.36;0.75;0;0;3818.1;27.11;140.86
Skippable in-stream;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;Philips_SLO;22679984082;103;0.04%;240,716;4.5;1.93;58,047;0.01;463.69;11.78;39.36
In-feed;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;Philips_SLO;22679984082;5;0.00%;366,804;31.82;0.43;9,173;0.02;159.08;4.01;39.67
Bumper;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;Philips_SLO;22679984082;399;0.11%;366,717;1.25;1.37;0;0;500.61;6.5;77.02
Shorts;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;Philips_SLO;22679984082;244;0.12%;211,667;0.73;0.84;3,091;0.06;178.1;3;59.37
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;Philips Serbia DAN;22660872715;3,127;0.13%;2,416,017;0.66;0.85;1,316,270;0;2058.56;184.61;11.15
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;Philips Serbia DAN;22660872715;59;0.00%;1,400,913;4.1;0.17;19,100;0.01;242;16.91;14.31
Skippable in-stream;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;Philips Serbia DAN;22558299544;42;0.23%;17,932;0.29;0.68;4,855;0;12.13;1;12.13
In-feed;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;Philips Serbia DAN;22558299544;39;0.00%;1,105,122;3.63;0.13;23,863;0.01;141.64;13.89;10.2
Bumper;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;Philips Serbia DAN;22558299544;2,504;0.11%;2,249,753;0.59;0.66;0;0;1479.43;11.5;128.65
Shorts;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;Philips Serbia DAN;22558299544;2,520;0.16%;1,599,040;0.27;0.42;34,733;0.02;668.27;36.61;18.25
Skippable in-stream;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;Philips_SLO;22548314541;1,492;0.16%;950,709;1.35;2.12;249,017;0.01;2013.33;104.85;19.2
In-feed;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;Philips_SLO;22548314541;4;0.00%;263,948;22.6;0.34;6,271;0.01;90.39;0.28;319.13
Shorts;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;Philips_SLO;22548314541;504;0.09%;585,887;0.59;0.51;4,730;0.06;296.87;7.91;37.55
In-feed;VID_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;Philips Serbia DAN;22524433186;60;0.00%;2,170,226;4.59;0.13;25,861;0.01;275.3;25.5;10.79
Bumper;VID_OMD_RS-SR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;Philips Serbia DAN;22524433186;3,923;0.13%;3,115,374;0.57;0.71;0;0;2224.39;31.96;69.61
In-feed;VID_OMD_SI-SL_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;Philips_SLO;22514313036;15;0.00%;659,017;12.17;0.28;6,976;0.03;182.52;8;22.82
Bumper;VID_OMD_SI-SL_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_05.05.-04.07.;Philips_SLO;22514313036;1,033;0.11%;944,468;1.76;1.92;0;0;1816.95;19.01;95.6
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_1.5.-15.6.;Philips Serbia DAN;22499210098;1,772;0.18%;967,553;0.61;1.12;269,698;0;1082.13;39.8;27.19
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_1.5.-15.6.;Philips Serbia DAN;22499210098;34;0.01%;519,858;3.49;0.23;11,199;0.01;118.61;3;39.54
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.;Philips Serbia DAN;22489149258;135;0.06%;223,479;2.09;1.26;72,522;0;282.62;2;141.31
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.;Philips Serbia DAN;22489149258;48;0.01%;589,950;3.15;0.26;10,966;0.01;151.01;2;75.51
Bumper;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.;Philips Serbia DAN;22489149258;1,587;0.24%;657,819;0.36;0.86;0;0;567;0;0
