Ad format;Campaign;Account;Campaign ID;Clicks;CTR;Impr.;Avg. CPC;Avg. CPM;TrueView views;TrueView avg. CPV;Cost;Conversions;Cost / conv.
Skippable in-stream;VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_SLO;Philips Hrvatska EUR;22691380071;166;0.09%;177,041;3.37;3.16;56,239;0.01;559.58;0;0
In-feed;VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_SLO;Philips Hrvatska EUR;22691380071;13;0.00%;556,391;28.88;0.67;17,437;0.02;375.4;0;0
Bumper;VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_SLO;Philips Hrvatska EUR;22691380071;842;0.16%;525,270;1.53;2.46;0;0;1289.98;0;0
Shorts;VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_SLO;Philips Hrvatska EUR;22691380071;422;0.13%;330,072;0.65;0.83;2,875;0.1;274.58;0;0
Skippable in-stream;McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - CPV;McDonald's EUR;22684510476;4,236;0.21%;1,970,700;1.42;3.04;1,193,998;0.01;5999.54;1,384.85;4.33
In-feed;McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - Bumper;McDonald's EUR;22684499418;571;0.01%;6,949,537;4.68;0.38;129,336;0.02;2672.82;457.07;5.85
Bumper;McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - Bumper;McDonald's EUR;22684499418;2,366;0.12%;1,964,505;0.98;1.18;0;0;2323.67;401.01;5.79
In-feed;McDonald's McNuggets June 2025 - Bumper;McDonald's EUR;22661560940;19;0.00%;699,503;6.33;0.17;5,548;0.02;120.22;9.01;13.35
Bumper;McDonald's McNuggets June 2025 - Bumper;McDonald's EUR;22661560940;804;0.09%;854,769;1.09;1.03;0;0;879.77;292.92;3
Skippable in-stream;McDonald's McNuggets June 2025 - CPV;McDonald's EUR;22655446491;711;0.10%;728,734;3.52;3.43;481,718;0.01;2499.87;698.31;3.58
