Ad format;Campaign;Campaign ID;Clicks;Impr.;Cost;Conversions
In-feed;DG_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_SHAVERS_6.11.-20.12.2024.;21886231592;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_SHAVERS_6.11.-20.12.2024.;21886231592;0;0;0;0
Skippable in-stream;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_ONE BLADE_20.10.-30.11.2024.;21878758541;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_ONE BLADE_20.10.-30.11.2024.;21878758541;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_ONE BLADE_20.10.-30.11.2024.;21878758541;0;0;0;0
In-feed;DG_OMD_HR-EN_MCC_MCC_Comforting_Soothers_NA_GOO_BRD_Avent Soothers 1.11.-31.12.;21864739114;0;0;0;0
Shorts;DG_OMD_HR-EN_MCC_MCC_Comforting_Soothers_NA_GOO_BRD_Avent Soothers 1.11.-31.12.;21864739114;0;0;0;0
Skippable in-stream;reflustat_november_2024_youtube_cpm;21850758387;0;0;0;0
In-feed;reflustat_november_2024_youtube_cpm;21850758387;0;0;0;0
Bumper;reflustat_november_2024_youtube_cpm;21850758387;0;0;0;0
Shorts;reflustat_november_2024_youtube_cpm;21850758387;0;0;0;0
Skippable in-stream;DG_OMD_BA-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_21.10.-24.12.2024.;21838643434;0;0;0;0
In-feed;DG_OMD_BA-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_21.10.-24.12.2024.;21838643434;0;0;0;0
Shorts;DG_OMD_BA-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_21.10.-24.12.2024.;21838643434;0;0;0;0
Skippable in-stream;DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_21.10.-24.12.2024.;21834241427;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_21.10.-24.12.2024.;21834241427;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_21.10.-24.12.2024.;21834241427;0;0;0;0
Skippable in-stream;meralys_october_2024_youtube_cpm;21823267624;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_INTIMATE_7.10.-30.11.2024.;21797173339;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_INTIMATE_7.10.-30.11.2024.;21797173339;0;0;0;0
In-feed;DG_OMD_HR-EN_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare Prestige_8.10.-30.12.2024. DEMAND GEN;21794035663;0;0;0;0
Shorts;DG_OMD_HR-EN_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare Prestige_8.10.-30.12.2024. DEMAND GEN;21794035663;0;0;0;0
Skippable in-stream;DG_OMD_HR-EN_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ 1.10.-15.12.2024._4502395228;21779138818;0;0;0;0
In-feed;DG_OMD_HR-EN_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ 1.10.-15.12.2024._4502395228;21779138818;0;0;0;0
Shorts;DG_OMD_HR-EN_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ 1.10.-15.12.2024._4502395228;21779138818;0;0;0;0
Skippable in-stream;Hidra Equity II - Ivica Kostelić Sept - Oct 2024 (YT) - Reach Mix - 2.0;21722845377;0;0;0;0
In-feed;Hidra Equity II - Ivica Kostelić Sept - Oct 2024 (YT) - Reach Mix - 2.0;21722845377;0;0;0;0
Shorts;Hidra Equity II - Ivica Kostelić Sept - Oct 2024 (YT) - Reach Mix - 2.0;21722845377;0;0;0;0
In-feed;DG_OMD_HR-EN_OHC_ID_CordlessPowerFlosser_CordlessPFMid3000_RECCONFLO_GOO_BRD_OHC_16.09.-21.10.2024.;21703123584;0;0;0;0
Shorts;DG_OMD_HR-EN_OHC_ID_CordlessPowerFlosser_CordlessPFMid3000_RECCONFLO_GOO_BRD_OHC_16.09.-21.10.2024.;21703123584;0;0;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom 10.9.-31.10.2024.;21692837221;0;0;0;0
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom 10.9.-31.10.2024.;21692837221;0;0;0;0
Bumper;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom 10.9.-31.10.2024.;21692837221;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom 10.9.-31.10.2024.;21689033516;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom 10.9.-31.10.2024.;21689033516;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 5.9.-5.10.2024.men target;21677841481;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 5.9.-5.10.2024.men target;21677841481;0;0;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 5.9.-5.10.2024.men target;21677839672;0;0;0;0
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 5.9.-5.10.2024.men target;21677839672;0;0;0;0
Bumper;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 5.9.-5.10.2024.men target;21677839672;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 5.9.-5.10.2024.parents;21674244716;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 5.9.-5.10.2024.parents;21674244716;0;0;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 5.9.-5.10.2024.parents target;21674244713;0;0;0;0
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 1 st shave 5.9.-5.10.2024.parents target;21674244713;0;0;0;0
Bumper;UHU BTS Aug - Sep 2024 (YT) - Bumper - CPM;21632783655;0;0;0;0
Bumper;Rio Mare Pesto Aug - Sept 2024 (YT) - Bumper - CPM;21567929004;0;0;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeBlades_OneBlade360Blades_RECMANOB_GOO_BRD_BLADES 6.8.-25.9.2024._Youtube;21549047173;0;0;0;0
