Ad format;Campaign;Campaign ID;Clicks;Impr.;Cost;Conversions
Skippable in-stream;VID_OMD_RS-SR_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512888975;0;0;0;0
In-feed;VID_OMD_RS-SR_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512888975;0;0;0;0
Bumper;VID_OMD_RS-SR_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512888975;0;0;0;0
In-feed;VID_OMD_SI-SL_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512876966;0;0;0;0
Bumper;VID_OMD_SI-SL_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512876966;0;0;0;0
Shorts;VID_OMD_SI-SL_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_YT_1.2.-30.3.2026.;23512876966;0;0;0;0
In-feed;DG_OMD_SI-SL_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_DG_1.2.-30.3.2026.;23512875274;0;0;0;0
In-feed;DG_OMD_RS-SR_GB_BTY_Hrcr_Styl_NA_GOO_AUD_DES_SenseIQ_DG_1.2.-30.3.2026.;23508212117;0;0;0;0
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23496301123;0;0;0;0
In-feed;VID_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23496301123;0;0;0;0
Bumper;VID_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23496301123;0;0;0;0
Shorts;VID_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23496301123;0;0;0;0
In-feed;DG_OMD_RS-SR_GB_OG_OBBLD_ALL_RECMANOB_GOO_AUD_DES_OneBlade_DG_23.1.-18.4.2026.;23491678256;0;0;0;0
Skippable in-stream;VID_OMD_SI-SL_GB_OG_OBBLD_ALL_NA_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23491550354;0;0;0;0
In-feed;VID_OMD_SI-SL_GB_OG_OBBLD_ALL_NA_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23491550354;0;0;0;0
Bumper;VID_OMD_SI-SL_GB_OG_OBBLD_ALL_NA_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23491550354;0;0;0;0
Shorts;VID_OMD_SI-SL_GB_OG_OBBLD_ALL_NA_GOO_AUD_DES_OneBlade_YT_23.1.-18.4.2026.;23491550354;0;0;0;0
In-feed;DG_OMD_SI-SL_GB_OG_OBBLD_ALL_NA_GOO_AUD_DES_OneBlade_DG_23.1.-18.4.2026.;23486581338;0;0;0;0
Skippable in-stream;VID_OMD_RS-SR_OHC_OHC_OHCX_ALL_NA_GOO_AUD_DES_OHC_20.1.-31.1.2026.;23475010740;0;0;0;0
In-feed;VID_OMD_RS-SR_OHC_OHC_OHCX_ALL_NA_GOO_AUD_DES_OHC_20.1.-31.1.2026.;23475010740;0;0;0;0
Bumper;VID_OMD_RS-SR_OHC_OHC_OHCX_ALL_NA_GOO_AUD_DES_OHC_20.1.-31.1.2026.;23475010740;0;0;0;0
Skippable in-stream;VID_OMD_SI-SL_GB_S_SX_ALL_NA_GOO_AUD_DES_Shaving_15.1.-28.2.2026.;23464086239;0;0;0;0
In-feed;VID_OMD_SI-SL_GB_S_SX_ALL_NA_GOO_AUD_DES_Shaving_15.1.-28.2.2026.;23464086239;0;0;0;0
Bumper;VID_OMD_SI-SL_GB_S_SX_ALL_NA_GOO_AUD_DES_Shaving_15.1.-28.2.2026.;23464086239;0;0;0;0
Shorts;VID_OMD_SI-SL_GB_S_SX_ALL_NA_GOO_AUD_DES_Shaving_15.1.-28.2.2026.;23464086239;0;0;0;0
Skippable in-stream;Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach;23304217610;593;734,355;1497.68;0
In-feed;Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach;23304217610;6;292,834;154.33;0
Shorts;Dr. Oetker Božićna kampanja Nov - Dec 2025 (YT) - TrueView for Reach;23304217610;1,041;741,987;557.2;0
Skippable in-stream;VID_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283992828;181;229,252;511.36;13.87
In-feed;VID_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283992828;5;557,575;280.64;1.24
Bumper;VID_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283992828;374;462,062;897.94;3
Shorts;VID_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283992828;289;384,279;325.42;43.09
Skippable in-stream;VID_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283969599;986;694,916;498.32;34.06
In-feed;VID_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283969599;48;1,129,621;235.33;45.84
Bumper;VID_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283969599;1,503;1,380,589;844.69;9
Shorts;VID_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283969599;1,512;915,373;423.39;255.37
In-feed;DG_OMD_RS-SR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_DG_14.11.-31.12.2025.;23279038791;2,276;133,079;555.72;255.35
In-feed;DG_OMD_SI-SL_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_DG_14.11.-31.12.2025.;23279014023;1,120;79,689;704.1;332.12
In-feed;DG_OMD_SI-SL_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_DG_1.11.-31.12.2025.;23241634504;7,147;676,314;2000.2;1,766.51
Skippable in-stream;VID_OMD_RS-SR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577731;614;495,498;606.63;18.13
In-feed;VID_OMD_RS-SR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577731;56;933,537;334.53;21
Bumper;VID_OMD_RS-SR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577731;2,138;1,234,716;1130.65;10
Shorts;VID_OMD_RS-SR_MCC_MCCUnd_MCCUnd_MCCUnd_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577731;1,754;781,354;414.26;67
Skippable in-stream;VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577080;154;126,452;446.45;12.38
In-feed;VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577080;2;264,322;230.58;13.37
Bumper;VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577080;216;179,900;550.76;2
Shorts;VID_OMD_SI-SL_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025.;23237577080;390;189,809;172.82;6.85
Skippable in-stream;VID_OMD_RS-SR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;23237376398;1,513;1,476,928;1318.44;43.87
In-feed;VID_OMD_RS-SR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;23237376398;23;931,817;215.1;17
Shorts;VID_OMD_RS-SR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;23237376398;1,744;973,640;468.43;70.91
Skippable in-stream;VID_OMD_SI-SL_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;23232282903;248;332,235;766.99;7.74
In-feed;VID_OMD_SI-SL_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;23232282903;1;359,039;124.6;3
Shorts;VID_OMD_SI-SL_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.;23232282903;266;179,579;110.07;9
In-feed;DG_OMD_RS-SR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_DG_1.11.-31.12.2025.;23232232446;7,085;339,122;979.43;153.36
Skippable in-stream;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Teens_1.11.-12.12.2025.;23209598329;309;158,995;596.75;2
In-feed;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Teens_1.11.-12.12.2025.;23209598329;15;219,687;174.42;4
Bumper;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Teens_1.11.-12.12.2025.;23209598329;266;157,890;550.45;4
Shorts;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Teens_1.11.-12.12.2025.;23209598329;80;81,700;109.69;2
Skippable in-stream;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Parents_1.11.-12.12.2025.;23200213176;163;156,302;604.11;12.92
In-feed;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Parents_1.11.-12.12.2025.;23200213176;9;271,376;188.02;8
Bumper;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Parents_1.11.-12.12.2025.;23200213176;164;148,609;496;1.98
Shorts;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_YT_Parents_1.11.-12.12.2025.;23200213176;227;178,377;212.78;46
Skippable in-stream;VID_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23172866092;701;795,007;687.33;20.75
In-feed;VID_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23172866092;24;1,173,802;246.56;24.01
Bumper;VID_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23172866092;646;1,140,172;691.34;11
Shorts;VID_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23172866092;2,980;1,303,827;473.07;106.63
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;23171314950;2,029;1,639,404;1041.03;85.56
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;23171314950;22;1,112,315;159.51;9.74
In-feed;DG_OMD_RS-SR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.;23168364167;2,740;107,024;715.51;45.51
Skippable in-stream;VID_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23168273492;120;287,085;701.17;16.5
In-feed;VID_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23168273492;1;576,104;261.66;13.24
Bumper;VID_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23168273492;147;327,753;652.69;8
Shorts;VID_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23168273492;531;408,596;286.39;82.67
In-feed;DG_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.;23163237003;1,021;39,247;400.24;0
In-feed;DG_OMD_SI-SL_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.;23163083511;1,995;152,701;602.14;378.4
Skippable in-stream;VID_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23162921025;874;914,503;698.33;12
In-feed;VID_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23162921025;37;722,354;184.97;1.23
Bumper;VID_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23162921025;896;528,076;280.87;2
Shorts;VID_OMD_ME-ME_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_20.10.-31.12.2025.;23162921025;1,479;446,549;188.4;9.47
In-feed;DG_OMD_SI-SL_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom 20.09.-10.11.2025.;23159899915;3,981;332,114;1822.32;282.09
Skippable in-stream;VID_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.2025.;23155285862;2,830;1,390,191;1588.35;72.68
In-feed;VID_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.2025.;23155285862;33;737,912;227.31;18.66
Shorts;VID_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.2025.;23155285862;984;513,878;284.39;18.99
In-feed;DG_OMD_RS-SR_GB_OG_GroomingUndiv_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.2025.;23150051901;14,762;554,376;1406.51;274.19
In-feed;DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_15.10-15.12.2025.;23147384833;8,712;244,479;1457.03;0
In-feed;DG_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.10-15.12.2025.;23142265184;2,977;235,575;1249.92;598.35
In-feed;DG_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23140250137;12,277;254,159;1305.73;85.87
In-feed;DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;23140032196;8,896;179,863;710.76;140.52
Skippable in-stream;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23136133814;146;265,634;612.54;8.02
In-feed;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23136133814;5;653,266;263.38;9
Bumper;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23136133814;307;532,915;1010.29;2
Shorts;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23136133814;219;641,045;562.31;41
Skippable in-stream;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23130385353;664;463,755;301.5;16.24
In-feed;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23130385353;2;1,561,446;299.08;5.01
Bumper;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23130385353;855;1,467,471;721.28;0
Shorts;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23130385353;1,755;1,685,800;780.5;43
In-feed;DG_OMD_SI-SL_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23130333303;5,434;429,255;1392.06;451.36
In-feed;DG_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23070221480;30,887;1,403,232;1099.99;20
Skippable in-stream;VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23070220712;498;408,057;259.9;14
In-feed;VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23070220712;15;562,870;113.49;1
Bumper;VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23070220712;925;586,440;295.97;0
Shorts;VID_OMD_ME-ME_GB_OG_OneBladeOther_OneBladeComm.Inn._NA_GOO_BRD_One Blade_1.10.-30.11.2025.;23070220712;1,278;309,748;121.24;0
In-feed;DG_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23038253197;9,031;500,110;1799.05;506.68
In-feed;VID_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034204641;13;488,267;252.74;38.7
Bumper;VID_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034204641;485;586,184;1591.44;2.39
Shorts;VID_OMD_SI-SL_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034204641;446;258,360;236.76;20.15
Skippable in-stream;VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034172058;612;606,939;601.79;30.02
In-feed;VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034172058;93;1,442,433;362.9;34.21
Bumper;VID_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23034172058;1,868;1,470,380;1135.03;26.84
In-feed;DG_OMD_RS-SR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025;23028088734;48,218;1,553,915;1445.41;563.62
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_parents_05.09.-15.10.;22986865838;1,696;922,954;1015.01;29.73
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_parents_05.09.-15.10.;22986865838;16;502,563;185.22;5
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_teens_05.09.-15.10.;22986865835;1,488;629,490;600.11;19.01
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_teens_05.09.-15.10.;22986865835;29;547,083;144.7;0.99
Bumper;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st shave_teens_05.09.-15.10.;22986865835;595;317,379;255.22;0
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;22973430471;854;802,211;767.4;32.97
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;22973430471;45;1,670,647;420.3;38
Bumper;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;22973430471;1,558;1,694,970;1196.37;16.35
Shorts;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.;22973430471;2,177;1,371,864;615.88;140.64
Bumper;Borotalco Men Aug - Sep 2025 (CPM) - Bumper;22928971609;3,212;1,737,161;2637.96;0
Skippable in-stream;Borotalco Men Aug - Sep 2025 (CPV) - VVC;22919079036;3,887;1,736,500;4161.26;0
In-feed;Borotalco Men Aug - Sep 2025 (CPV) - VVC;22919079036;3;199,460;98.04;0
Skippable in-stream;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;22747183861;177;167,760;408.47;10.03
In-feed;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;22747183861;9;403,487;165.99;9
Bumper;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;22747183861;789;594,366;1170.67;4.64
Shorts;VID_OMD_SI-SL_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;22747183861;354;313,171;228.24;18
Skippable in-stream;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;22737245028;1,413;1,822,912;2038.8;29.05
In-feed;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;22737245028;158;4,029,590;893.28;19.64
Bumper;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_Awareness_25.6.-20.7.2025;22737245028;10,550;5,065,238;3818.1;27.11
Skippable in-stream;Borotalco Pure June 2025 (CPV);22714966255;2,757;2,943,197;6697.08;0
In-feed;Borotalco Pure June 2025 (CPV);22714966255;43;2,317,968;1101.92;0
Bumper;Borotalco Pure June 2025 (Bumper);22711295453;3,961;2,410,310;3799.92;0
In-feed;DG_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22689604765;72,057;4,347,483;2983.16;1,211.09
Shorts;DG_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22689604765;301;85,865;16.86;7.01
In-feed;DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_16.6.-20.8.2025.;22686031805;109,979;3,620,707;997.85;0
Shorts;DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_16.6.-20.8.2025.;22686031805;211;22,706;2.12;0
Skippable in-stream;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22679984082;103;240,716;463.69;11.78
In-feed;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22679984082;5;366,804;159.08;4.01
Bumper;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22679984082;399;366,717;500.61;6.5
Shorts;VID_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;22679984082;244;211,667;178.1;3
Skippable in-stream;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;22660872715;3,127;2,416,017;2058.56;184.61
In-feed;VID_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;22660872715;59;1,400,913;242;16.91
In-feed;DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;22651133247;129,589;4,029,888;1334.58;1,280.91
Shorts;DG_OMD_RS-SR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_9.6.-30.7.;22651133247;1,119;126,738;13.52;18
In-feed;DG_OMD_SI-SL_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_CRM_Newsletter;22599460230;13,690;1,333,337;1223.87;83.76
Shorts;DG_OMD_SI-SL_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_CRM_Newsletter;22599460230;271;108,661;25.52;1.08
Skippable in-stream;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;22558299544;42;17,932;12.13;1
In-feed;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;22558299544;39;1,105,122;141.64;13.89
Bumper;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;22558299544;2,504;2,249,753;1479.43;11.5
Shorts;VID_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;22558299544;2,520;1,599,040;668.27;36.61
In-feed;DG_OMD_RS-SR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.5.-30.6.2025.;22554733670;109,591;4,016,853;1279.18;468.61
