Campaign;Campaign ID;Campaign type;Country/Territory (User location);Impr.;Clicks;Cost
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;El Salvador;15,200;16;11.28
202511//Ceresit//Ceresit Glue;23229615301;Display;United States;18;0;0
lactogyn_june_2025_youtube_cpm;22797176144;In-stream video;Croatia;109;0;0.11
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Ghana;2,194;1;1.35
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Saint Barthelemy;5;0;0
T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Female;22363265963;In-stream video;Croatia;180,844;104;500.37
McDonald's_Triple cheeseburger_March_2025  (YT) - CPV;22328128277;In-stream video;Croatia;16,911;29;47.53
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Czechia;99;0;0.27
202511//Ceresit//Ceresit Glue;23229615301;Display;Iceland;47;0;0
Nissan QQ June 2025 - Performance Max;22631927985;Performance Max;Croatia;437,558;10,881;3970.84
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Mexico;255,916;70;230.37
DG_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_DG_Consideration_1.11.-15.12.2025.;23214457857;Demand Gen;Bosnia and Herzegovina;69,174;2,023;409.48
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Bolivia;54,488;93;28.93
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Malta;25;1;0.03
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Saint Helena, Ascension and Tristan da Cunha;16;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;India;1,354,846;7,224;848.72
reflustat_september_2025_youtube_fc_cpm;23024710483;In-stream video;Croatia;6,725,025;5,077;10526.4
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Lithuania;37;0;0
