Campaign;Campaign ID;Campaign type;Country/Territory (User location);Impr.;Clicks;Cost
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;United Arab Emirates;256;0;0.42
Zott Hungry May - Jul 2025 (YT) - Reach Mix;22588201807;In-stream video;Croatia;5,006,862;6,305;7996.09
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Curacao;497;1;0.14
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Poland;126;1;0.04
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Nicaragua;11,719;4;4.55
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Netherlands;17;0;0.05
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Qatar;6,453;1;1.77
202511//Ceresit//Ceresit Glue;23229615301;Display;Poland;55;0;0
T03_001505_HR_NME_Luminous630Moisturizer_AW_Feb25_Mar25_fullf_OMD_DigGR_KNOW - Bumper M;22188924642;In-stream video;Croatia;1,920,400;4,154;2495.56
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Norway;1;0;0
VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025;22545555255;In-stream video;Croatia;2,598,423;3,382;2301.18
McDonald's Grimace May - July 2025 (YT) - CPV;22728306162;In-stream video;Croatia;1,232,277;1,746;3800.92
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO_Lumea;23035354024;Performance Max;Croatia;293,370;3,757;1552.04
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;India;1,109,317;5,884;687.22
McDonald's Employer Image IV Sep - Nov 2025 (Performance Max) AO - CPA;23019979679;Performance Max;Croatia;7,313,133;73,250;7998.09
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Lithuania;15;0;0
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;United Arab Emirates;1;0;0
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Romania;215;1;0.03
DG_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.;22514121090;Demand Gen;Croatia;4,584,740;73,918;2199.98
meralys_december_2025_youtube_cpm;23344911816;In-stream video;Croatia;5,155,255;8,047;7653.63
McDonald's_Coffee_I_March_2025 (YT) - Bumper;22324496873;In-stream video;Croatia;149,863;41;102.51
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;22605577634;In-stream video;Croatia;4,584,088;8,367;8596.68
202512//Ceresit//Ceresit Expert;23348045715;Display;Portugal;48;4;0.11
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Liechtenstein;1;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;New Zealand;222;0;0.08
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Philippines;86,336;148;87.42
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Turks and Caicos Islands;355;0;0.13
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Luxembourg;30;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Austria;142;0;0.03
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Latvia;239;0;0.25
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Guatemala;32,406;48;22.52
McDonald's McDelivery Wolt II November 2025 (YT) - Bumper;23246559240;In-stream video;Croatia;689,062;991;1199.4
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Bulgaria;3,171;2;0.94
McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - CPV;23080445477;In-stream video;Croatia;327,837;323;1081.05
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Shorts;22599321744;In-stream video;Croatia;1,811,838;3,521;3052.92
T03_000717_HR_NIV_Promotion_AW_Mar25_Mar25_fullf_OMD_DigGR_TrueviewShorts - Male;22284590328;In-stream video;Croatia;784,853;735;1000.43
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Denmark;419;0;0.06
DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025;23136083489;Demand Gen;Croatia;664,789;13,925;1497.95
McDonald's Sirious Winter December 2025 (YT) - Bumper;23344793168;In-stream video;Croatia;1,311,171;1,143;1999.34
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Philippines;71,753;117;72.49
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;Australia;3;0;0
PMAX_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_15.1.-30.3.;22133253577;Performance Max;Slovenia;1;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Sint Maarten;155;0;0.08
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Latvia;7;0;0
McDonald's Happy Meal May-Jun 2025 (YT) -CPV;22578284536;In-stream video;Croatia;432,581;534;1499.35
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;British Virgin Islands;64;0;0.05
VID_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.;23283807728;In-stream video;Croatia;2,263,559;1,684;1901.16
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Sri Lanka;21,615;144;10.91
McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - CPV;23240243956;In-stream video;Croatia;972,613;522;2999.71
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Dominican Republic;25,965;11;10.02
McDonald's_Coffee_I_March_2025 (YT) - CPV;22324505909;In-stream video;Croatia;17,803;46;51.19
McDonald's 1+1 January 2025 (YT) - CPV;22101473486;In-stream video;Croatia;1,844,138;2,518;3999.3
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Saint Pierre and Miquelon;5;0;0
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;Croatia;119,187;2,377;647.05
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Australia;7;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Azerbaijan;21,289;33;13.72
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Czechia;199;0;0
McDonald's Breakfast Mushrooms May 2025 - CPV;22515688781;In-stream video;Croatia;413,028;548;1498.18
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Slovakia;47;0;0
McDonald's HM Lil McD's July 2025 (YT) - CPV;22784870398;In-stream video;Croatia;562,622;699;1788.3
McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC;23279927975;Demand Gen;Croatia;3,994,013;59,060;1999.05
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Japan;5;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;South Korea;46;0;0.11
202512//Ceresit//Ceresit Expert;23348045715;Display;Canada;6;0;0
McDonald's McDelivery July - September 2025 (YT) - Bumper;22739006393;In-stream video;Croatia;2,815,971;1,587;2501.77
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Bosnia and Herzegovina;6,430;3;5.71
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;France;27;1;0.21
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Saudi Arabia;6;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Northern Mariana Islands;119;0;0.04
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Taiwan;2,075;0;0.78
202512//Ceresit//Ceresit Expert;23348045715;Display;South Africa;74;1;0.03
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Greece;800;0;0.15
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Singapore;7;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Japan;760;0;4.2
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Saudi Arabia;10,066;1;9.61
202511//Ceresit//Ceresit Glue;23229615301;Display;Reunion;72;0;0
Nissan QQ June 2025 (DN) - CPM;22641575224;Display;Croatia;4,568,254;3,169;999.32
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Egypt;68,468;30;18.27
202505//Ceresit//CeresitTiling//Brand Campaign;22596610507;Display;Croatia;1,919,229;27,411;1482.51
McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - Bumper;22530427806;In-stream video;Croatia;2,953,762;629;1499.57
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Slovakia;7;0;0.03
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Serbia;2,676;0;2.7
McDonald's HM Lil McD's July 2025 (YT) - Bumper;22775346894;In-stream video;Croatia;456,687;540;704.25
jgl_zaposljavanje_october_2025_cross-network_pmax;23130287493;Performance Max;North Macedonia;10;1;0.27
202509//Ceresit//Ceresit CT19;23051949030;Display;Denmark;46;0;0
McDonald's Zapošljavanje Zabok Aug - Sep 2025 (Perfomance Max) - CPA;22915596195;Performance Max;Croatia;200,715;2,496;1195.75
jgl_zaposljavanje_october_2025_cross-network_pmax;23130287493;Performance Max;Israel;2;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Vietnam;255,802;652;173.86
T03_000085_HR_NSU_UVFace_CO_Mar25_May25_fullf_OMD_DigGR_Nonskippable In-market;22328795888;In-stream video;Croatia;3,265,596;6,081;10886.51
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Turks and Caicos Islands;250;1;0.14
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Curacao;252;0;0.19
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Guam;243;0;0.16
McDonald's Breakfast Mushrooms May 2025 - Bumper;22515626597;In-stream video;Croatia;885,442;696;779.95
Zott Jogobella Jan - Feb 2025 (YT) - Bumper - CPM;22123497963;In-stream video;Croatia;632,960;504;770.28
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Turkiye;60,196;13;13.84
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Greenland;209;0;0.07
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Romania;1,074;0;0.25
lactogyn_june_2025_youtube_fc_cpm;22791527244;In-stream video;Croatia;4,845,969;6,234;9090.25
Zott Protein Jan - Mar 2025 (DN) - CPM;22105292855;Display;Croatia;12,821,866;5,326;2640.39
202509//Ceresit//Ceresit CT19;23051949030;Display;Ireland;148;1;0.05
202511//Ceresit//Ceresit Glue;23229615301;Display;Bulgaria;138;3;0.11
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Chile;13,466;4;4.27
T03_000055_HR_NBD_BodyMilk_AW_Jan25_Feb25_fullf_OMD_DigGR_Bumper;22129212445;In-stream video;Croatia;2,402,886;4,967;3993.22
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Mexico;272,172;84;277.03
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Malta;139;0;0.09
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Sweden;13;0;0.13
202512//Ceresit//Ceresit Expert;23348045715;Display;Poland;76;2;0.05
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Brazil;119,370;23;140.05
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Croatia;2,105,399;57,270;2190.77
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;23140105375;In-stream video;Croatia;2,124,544;1,350;1964.9
202509//Ceresit//Ceresit CT19;23051949030;Display;Portugal;130;3;0.16
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Germany;13;0;0.13
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Liechtenstein;3;0;0
McDonald's HM Pokemon Jan Feb 2025 (YT) - CPV;22155260349;In-stream video;Croatia;1,798,973;4,153;4495.46
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Papua New Guinea;507;1;0.2
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;Vietnam;1;0;0
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Sweden;51;0;0
T03_001233_HR_NCR_RepairCareAPC_AW_Feb25_Mar25_fullf_OMD_DigGR_Bumper - RC;22217449910;In-stream video;Croatia;617,194;1,254;749.61
PMAX_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_PMAX_20.10.-31.12.2025.;23172997174;Performance Max;Croatia;90,148;3,174;697.57
202509//Ceresit//Ceresit CT19;23051949030;Display;Netherlands;47;1;0.15
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Wallis and Futuna;12;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Guatemala;16,425;2;6.17
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Papua New Guinea;1,475;3;0.32
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Greenland;96;0;0.05
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Denmark;18;0;0.06
202511//Ceresit//Ceresit Glue;23229615301;Display;Qatar;65;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Laos;18,836;204;7.66
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Turks and Caicos Islands;257;0;0.16
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Italy;35;0;0.18
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Poland;54;0;0.23
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;South Africa;80;0;0
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Spain;1,178;0;0.39
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Israel;571;0;0.41
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;India;4;0;0
McDonald's Mixology July 2025 (YT) - CPV;22761591506;In-stream video;Croatia;413,288;495;1199.43
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Uruguay;9,059;3;2.92
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Mayotte;206;0;0.11
McDonald's Sirious Winter December 2025 (YT) - CPV;23339715288;In-stream video;Croatia;929,467;648;2999.47
McDonald's 1+1 May-Aug 2025 (YT) - Bumper;22577658432;In-stream video;Croatia;3,306,032;2,066;2501.9
202511//Ceresit//Ceresit Glue;23229615301;Display;Nigeria;634;5;0.25
202512//Ceresit//Ceresit Expert;23348045715;Display;Malta;32;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Guernsey;30;0;0.02
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Paraguay;24,386;23;14.11
T03_001594_HR_NFC_Q10DualActionSerum_CO_Jan25_Mar25_fullf_OMD_DigGR_trueview;22149659989;In-stream video;Croatia;1,776,159;4,073;5499.73
T03_000158_HR_NDO_BW(unisex)_CO_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Male;22363394816;In-stream video;Croatia;768,833;907;1936.78
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Bahrain;1,742;3;1.59
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Aruba;227;0;0.19
jgl_zaposljavanje_october_2025_cross-network_pmax;23130287493;Performance Max;Saudi Arabia;2;0;0
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Hong Kong;3;0;0
202512//Ceresit//Ceresit Expert;23348045715;Display;Saudi Arabia;47;1;0.03
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Iraq;55,510;136;35.76
DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_4.3.-15.4.2025.;22299667824;Demand Gen;Croatia;3,687,467;71,319;2169.64
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Liechtenstein;2;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Slovakia;10;0;0.03
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Estonia;14;0;0.01
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Brazil;110,923;30;135.89
202511//Ceresit//Ceresit Glue;23229615301;Display;Greece;117;1;0.06
McDonald's Breakfast AO Sep - Dec 2025 (YT) - CPV;23051178150;In-stream video;Croatia;810,474;651;2499.9
McDonald's Snack Menu AO III December 2025 (YT) - CPV;23334197017;In-stream video;Croatia;369,341;225;999.83
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Bosnia and Herzegovina;5,311;2;4.13
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Venezuela;85,584;94;43.53
McDonald's McCrispy II April - May 2025 (YT) - Bumper;22452364523;In-stream video;Croatia;2,875,337;1,326;1999.91
T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI;22876405666;In-stream video;Croatia;4,069,427;5,321;6001.2
202509//Ceresit//Ceresit CT19;23051949030;Display;Japan;27;1;0.04
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Costa Rica;3,315;1;1.05
DG_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_CRM_Newsletter_27.5.-16.6.2025.;22605732707;Demand Gen;Croatia;2,435,186;33,348;1249.65
McDonald's Maestro II April - June 2025 (YT) - Bumper;22456877969;In-stream video;Croatia;4,144,697;2,159;3000.4
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;United Kingdom;8;0;0.04
202512//Ceresit//Ceresit Expert;23348045715;Display;Reunion;3;0;0
McDonald's McNuggets June 2025 - CPV;22655446491;In-stream video;Croatia;728,734;711;2499.87
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Turkiye;32,779;15;39.95
McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - CPV;22684510476;In-stream video;Croatia;1,970,700;4,236;5999.54
McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC;22921219638;Demand Gen;Croatia;4,246,569;68,359;1500.35
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Aruba;237;0;0.18
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Jersey;42;0;0.03
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Japan;5,841;226;2.23
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Sweden;12;0;0.03
McDonald's Trust I May 2025 (YT) - Bumper;22518745594;In-stream video;Croatia;1,964,313;1,330;1499.95
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Costa Rica;5,629;2;5.22
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Norway;99;0;0.03
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;22707031568;In-stream video;Croatia;5,965,313;13,130;11997.8
VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.;23035809352;In-stream video;Croatia;2,114,058;1,903;2297.7
Nissan All range November 2025 - Performance Max;23213561896;Performance Max;Croatia;257,408;8,879;4398.63
T03_001506_HR_NBD_Luminous630Body_CO_Mar25_May25_fullf_OMD_DigGR_TrueView;22339436384;In-stream video;Croatia;963,599;1,831;3500.43
McDonald's Employer Image AO Jan - Mar 2025 Performance Max - CPA;22088665616;Performance Max;Ireland;1;0;0
jgl_zaposljavanje_october_2025_cross-network_pmax;23130287493;Performance Max;Hungary;1;0;0
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Oman;5,776;7;4.93
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;Malaysia;1;1;0.38
202511//Ceresit//Ceresit Glue;23229615301;Display;Germany;593;9;0.72
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Tanzania;9,426;16;2.47
McDonald's Srijeda koja vrijedi više AO Jan - Mar 2025 (YT) - Bumper;22082586423;In-stream video;Croatia;3,990,975;1,429;1939.74
202512//Ceresit//Ceresit Expert;23348045715;Display;Iceland;22;0;0
202512//Ceresit//Ceresit Expert;23348045715;Display;Oman;10;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Egypt;19,492;47;15.31
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Nigeria;191;4;0.15
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Wallis and Futuna;5;0;0
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Slovenia;12;0;0.02
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;United States;212;2;1.72
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Qatar;2,269;0;2.17
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Israel;11;0;0
Nissan All range Apr - May 2025 (DN) - CPM;22441690734;Display;Croatia;18,491,547;11,833;3996.39
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Gibraltar;56;0;0.02
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Senegal;27,187;76;9.1
VID_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_1.11.-15.12.2025.;23223956797;In-stream video;Bosnia and Herzegovina;3,811,640;899;1401.07
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Cayman Islands;124;0;0.09
Zott Protein Apr - Jun 2025 (YT) - Trueview - CPV;22432560440;In-stream video;Croatia;3,210,799;2,897;6201.21
T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;22601549246;In-stream video;Croatia;786,812;980;1600.13
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Caribbean Netherlands;59;0;0.03
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Guam;707;0;0.23
202509//Ceresit//Ceresit CT19;23051949030;Display;Australia;5;0;0
DIS_OMD_BA-BS_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_GDN_Consideration_20.10.-31.12.2025.;23163620307;Display;Bosnia and Herzegovina;1,905,008;50,982;841.44
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Croatia;27;0;0.02
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Indonesia;217,814;418;170.64
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Western Sahara;1,441;2;0.48
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Israel;1,974;1;0.62
PMAX_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_PMAX_14.11.-31.12.2025.;23283955574;Performance Max;Montenegro;12;0;0
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22647377695;In-stream video;Croatia;3,501,414;6,226;7499.69
PMAX_OMD_HR-HR_GB_OG_Grooming_GroomingUndivided_NA_GOO_BRD_Multigroom_20.09.-10.11.;23150224947;Performance Max;Belgium;3;1;1.69
jgl_zaposljavanje_october_2025_cross-network_pmax;23130287493;Performance Max;Croatia;162,344;5,546;497.27
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;22850295323;Performance Max;Norway;16;0;0
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_1.5.-15.6.;22489118778;In-stream video;Croatia;683,487;1,265;800.49
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;Saudi Arabia;77;6;0.19
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;In-stream video;Lebanon;8,236;27;5.39
T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueViewOlder;22439426145;In-stream video;Croatia;409,151;888;1080.35
fungilac_march_2025_display_cpm;22391274867;Display;Croatia;16,641,511;8,143;2966.5
McDonald's McDelivery Apr - May 2025 (YT) - CPV;22433452242;In-stream video;Croatia;1,225,238;1,833;3997.74
JGL Muzej farmacije TUR Jul - Aug 2025 (DG) - CPC;22738852523;Demand Gen;Croatia;760,284;16,229;325.11
T03_001594_HR_NFC_Q10DualActionSerum_AW_Jan25_Mar25_fullf_OMD_DigGR_trueview;22139437671;In-stream video;Croatia;4,739,790;11,044;7995.88
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;In-stream video;Canada;52;0;0.29
McDonald's 1+1 May-Aug 2025 (YT) - CPV;22577682633;In-stream video;Croatia;1,682,772;1,683;5001.46
202512//Ceresit//Ceresit Expert;23348045715;Display;Luxembourg;14;0;0
McDonald's McCrispy I Feb-Mar 2025 (YT) - Bumper;22253470993;In-stream video;Croatia;3,044,812;1,485;1822.83
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Sweden;190;0;0.07
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;In-stream video;Saint Barthelemy;16;0;0
