Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
Shorts	T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_Shorts	22551605888	1,508	518,281	0.29%	0.17	0.48	10,644	0.02	75.41	3.32	0.38%	250.66
Bumper	T03_000098_HR_NSU_ProtectMoisture_AW_May25_Jul25_fullf_OMD_DigGR_Bumper	22551416534	4,927	2,855,595	0.17%	1.07	1.85	0	0.0	69.76	75.71	1.42%	5281.77
Skippable in-stream	T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_TrueView	22545157905	6,307	2,695,530	0.23%	1.57	3.67	1,583,631	0.01	1,012.01	9.78	0.05%	9894.41
Bumper	202504//Syoss Color//Syoss_COL Keratin RL 25//Syoss_COL Keratin RL 25//video//Bumper	22533691090	4,729	2,121,776	0.22%	0.63	1.41	0	0.0	0	0.0	0.00%	2999.76
Non-skippable in-stream	202504//Syoss Color//Syoss_COL Keratin RL 25//Syoss_COL Keratin RL 25//video//Trueview	22533659230	1,174	2,079,295	0.06%	4.26	2.4	0	0.0	0	0.0	0.00%	5000.15
Non-skippable in-stream	202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Trueview	22530853916	2,624	4,451,056	0.06%	3.62	2.13	0	0.0	0	0.0	0.00%	9501.53
Bumper	202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Bumper	22524522930	10,862	5,359,714	0.20%	0.67	1.35	0	0.0	0	0.0	0.00%	7240.55
Bumper	202504//Gliss//Gliss_CAR FH Wonder EU B 25//Gliss_CAR FH Wonder EU B 25//video//Bumper	22489976397	4,911	2,383,236	0.21%	0.66	1.37	0	0.0	0	0.0	0.00%	3261.71
Non-skippable in-stream	202504//Gliss//Gliss_CAR FH Wonder EU B 25//Gliss_CAR FH Wonder EU B 25//video//TrueView	22484022653	3,372	2,282,581	0.15%	2.08	3.07	0	0.0	0	0.0	0.00%	6998.55
Bumper	T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_BumperYounger	22449249724	877	542,622	0.16%	1.23	1.99	0	0.0	72.06	14.99	8.22%	1080.42
Skippable in-stream	T03_001594_HR_NFC_Q10DualActionSerum_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueViewOlder	22445951240	5,743	1,412,118	0.41%	0.73	2.97	785,789	0.01	2,075.38	2.02	0.23%	4200.21
Skippable in-stream	T03_001594_HR_NFC_Q10DualActionSerum_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueViewYounger	22445914925	3,911	1,845,264	0.21%	1.61	3.41	1,145,752	0.01	871.63	7.23	0.07%	6300.19
Skippable in-stream	T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueViewOlder	22439426145	888	409,151	0.22%	1.22	2.64	274,452	0.0	520.78	2.07	0.17%	1080.35
Skippable in-stream	T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueViewYounger	22439414346	452	493,963	0.09%	3.58	3.28	357,282	0.0	137.88	11.75	0.04%	1620.32
Bumper	T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_BumperOlder	22439393505	1,079	419,079	0.26%	0.67	1.72	0	0.0	41.2	17.49	3.82%	720.41
Skippable in-stream	T03_000033_HR_NCR_Soft_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueView	22429642072	6,073	3,041,658	0.20%	1.11	2.22	935,683	0.01	233.56	28.97	0.02%	6765.28
