Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
Skippable in-stream	Demand_Gen_DishCare_Dishwashers_2025_Finish_HR	23069848067	3,676	93,977	3.91%	0.04	1.45	10,698	0.01	1	135.91	0.00%	135.91
In-feed	Demand_Gen_DishCare_Dishwashers_2025_Finish_HR	23069848067	102,203	4,226,506	2.42%	0.03	0.85	9,751	0.05	101.89	35.09	0.10%	3575.74
Shorts	Demand_Gen_DishCare_Dishwashers_2025_Finish_HR	23069848067	7,442	1,122,114	0.66%	0.03	0.2	1,461	0.03	4.33	52.83	0.04%	228.92
In-feed	Kaufland - Impuls - NEO konkurencija - Stoti kupac - Jankomir - Oct 2025 (DG) - CPC	23068292085	11,823	273,032	4.33%	0.05	2.01	0	0.0	3,660.88	0.15	30.94%	548.78
Skippable in-stream	Demand_Gen_IndoorCleaning_VacuumCleaners_Unlimited10_HR	23067963990	1,938	57,422	3.38%	0.03	1.15	6,442	0.01	0.37	176.26	0.00%	65.79
In-feed	Demand_Gen_IndoorCleaning_VacuumCleaners_Unlimited10_HR	23067963990	170,625	11,315,093	1.51%	0.03	0.5	5,144	0.58	108.04	52.23	0.03%	5642.4
Shorts	Demand_Gen_IndoorCleaning_VacuumCleaners_Unlimited10_HR	23067963990	5,133	681,224	0.75%	0.03	0.24	811	0.03	3.35	49.1	0.05%	164.25
In-feed	Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC	23064392874	2,166	54,706	3.96%	0.41	16.42	0	0.0	3,171.92	0.28	146.17%	898.51
Shorts	Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC	23064392874	7	1,134	0.62%	5.6	34.56	0	0.0	6.95	5.64	99.27%	39.2
Skippable in-stream	Demand_Gen_Food_AirFryer_2025_Flight_HR	23064041271	38,683	1,217,306	3.18%	0.06	1.87	282,657	0.01	12,177.95	0.19	2.73%	2274.59
In-feed	Demand_Gen_Food_AirFryer_2025_Flight_HR	23064041271	109,960	5,008,064	2.20%	0.04	0.84	1,115	1.15	9,699.93	0.43	6.42%	4213.97
Shorts	Demand_Gen_Food_AirFryer_2025_Flight_HR	23064041271	7,636	986,718	0.77%	0.04	0.33	593	0.03	1,178.95	0.28	13.19%	327.11
Skippable in-stream	Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR	23063936142	3,828	109,005	3.51%	0.03	1.07	15,554	0.01	2.26	51.68	0.01%	116.95
In-feed	Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR	23063936142	80,763	2,591,659	3.12%	0.05	1.6	15,734	0.04	28,670.84	0.14	27.77%	4151.11
Shorts	Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR	23063936142	1,672	233,648	0.72%	0.03	0.22	713	0.03	31.61	1.6	1.00%	50.52
In-feed	Kaufland - Impuls - Ivanec - Sept-Nov 2025 (DG) - CPC	23055092044	4,181	91,996	4.54%	0.12	5.46	0	0.0	4,756.51	0.11	113.76%	501.92
In-feed	Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC	23055052468	15,053	461,343	3.26%	0.03	1.03	0	0.0	7,812.19	0.06	51.89%	474.11
Shorts	Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC	23055052468	974	134,161	0.73%	0.03	0.2	0	0.0	154.08	0.18	15.82%	27.28
Skippable in-stream	SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL	23018167917	111,866	2,280,012	4.91%	0.02	1.12	269,243	0.01	69.1	37.03	0.01%	2558.72
In-feed	SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL	23018167917	20,194	579,091	3.49%	0.03	1.05	1,897	0.05	76.83	7.89	0.35%	605.86
Shorts	SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL	23018167917	4,987	632,606	0.79%	0.02	0.18	701	0.02	3.35	33.67	0.05%	112.65
Skippable in-stream	Kaufland - Image - CSR - Vatrogasci - Sept-Oct 2025 (YT) - VVC	23005725960	1,353	237,929	0.57%	0.21	1.2	70,522	0.0	416.08	0.68	0.40%	284.44
Shorts	Kaufland - Image - CSR - Vatrogasci - Sept-Oct 2025 (YT) - VVC	23005725960	688	241,591	0.28%	0.31	0.89	62,535	0.0	402.77	0.54	0.43%	216.08
Skippable in-stream	Kaufland - Image - Cjenovna - Sep 2025 (YT) - VVC	22981115199	1,899	311,363	0.61%	0.28	1.69	144,499	0.0	892.87	0.59	0.46%	526.95
Shorts	Kaufland - Image - Cjenovna - Sep 2025 (YT) - VVC	22981115199	846	354,957	0.24%	0.32	0.77	32,172	0.01	250.14	1.09	0.46%	273.12
In-feed	Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (DG) - CPC	22973235801	54,747	2,024,906	2.70%	0.03	0.69	0	0.0	10,514.35	0.13	19.20%	1387.37
Shorts	Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (DG) - CPC	22973235801	6,535	988,782	0.66%	0.02	0.15	0	0.0	189.01	0.8	2.89%	150.38
Skippable in-stream	Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (YT) - CPM	22973170974	1,934	1,194,972	0.16%	0.93	1.51	316,689	0.01	1,733.52	1.04	0.41%	1798.6
In-feed	Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (YT) - CPM	22973170974	7	663,726	0.00%	43.04	0.45	14,451	0.02	313.5	0.96	1.43%	301.28
Skippable in-stream	Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM	22942514632	870	837,529	0.10%	1.51	1.57	245,937	0.01	442.14	2.97	0.13%	1313.5
In-feed	Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM	22942514632	52	997,281	0.01%	7.48	0.39	20,034	0.02	96.86	4.01	0.37%	388.75
Bumper	Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM	22942514632	2,263	1,215,327	0.19%	0.6	1.13	0	0.0	140	9.77	6.19%	1367.3
Shorts	Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM	22942514632	1,381	882,622	0.16%	0.4	0.63	16,430	0.03	486.65	1.13	1.44%	551.92
In-feed	Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DG) - CPC	22939420753	4,244	119,944	3.54%	0.12	4.18	0	0.0	6,550.96	0.08	154.29%	501.4
Shorts	Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DG) - CPC	22939420753	3	211	1.42%	0.06	0.89	0	0.0	0	0.0	0.00%	0.19
Shorts	Kaufland - Dex Rock - Jul-Aug 2025 (YT) - CPM	22821633494	3,738	1,184,248	0.32%	0.4	1.27	104,354	0.01	430.86	3.48	0.29%	1500.0
Skippable in-stream	Kaufland - Image - CSR - Vatrogasci - Jun-Jul 2025 (YT) - VVC	22639102988	5,190	874,329	0.59%	0.26	1.55	351,126	0.0	1,646.43	0.83	0.33%	1359.12
Shorts	Kaufland - Image - CSR - Vatrogasci - Jun-Jul 2025 (YT) - VVC	22639102988	2,395	857,244	0.28%	0.33	0.93	161,833	0.0	1,091.06	0.73	0.42%	799.66
Bumper	202503// Got2b_STY Topseller B 25_Bumper_16x9_6s_BeachMatt_ChillHold//6sec//CPM//W18-54	22614852371	3,762	2,614,324	0.14%	0.8	1.15	0	0.0	0	0.0	0.00%	2998.89
Non-skippable in-stream	202503// Got2b_STY Topseller B 25_OLV_16x9_15s_RangeBeachMattTwistedPowderful-Master_ChillHold&HeatProtection&VolumeBoost//15sec//CPM//W18-54	22608337149	1,023	1,623,672	0.06%	3.91	2.46	0	0.0	0	0.0	0.00%	4000.14
In-feed	DetoxMay25_Range_HomeAppliances_Kitchen_Flight_Blenders	22586653620	11,117	384,851	2.89%	0.06	1.6	0	0.0	5,108.67	0.12	45.95%	614.26
Shorts	DetoxMay25_Range_HomeAppliances_Kitchen_Flight_Blenders	22586653620	721	118,669	0.61%	0.05	0.33	0	0.0	245.25	0.16	34.02%	39.18
Skippable in-stream	Porsche Moon May - Jul 2025 - (YT) - VVC	22579330750	2,098	2,177,369	0.10%	1.81	1.75	1,297,295	0.0	0	0.0	0.00%	3805.23
In-feed	Porsche Moon May - Jul 2025 - (YT) - VVC	22579330750	2	35,378	0.01%	6.07	0.34	1,219	0.01	0	0.0	0.00%	12.14
Shorts	Porsche Moon May - Jul 2025 - (YT) - VVC	22579330750	34	20,971	0.16%	0.27	0.44	590	0.02	0	0.0	0.00%	9.32
In-feed	Porsche Moon May - Jul 2025 - (DG) - CPC	22575439607	54,070	1,931,716	2.80%	0.03	0.74	0	0.0	0	0.0	0.00%	1427.8
Shorts	Porsche Moon May - Jul 2025 - (DG) - CPC	22575439607	5,519	962,643	0.57%	0.02	0.14	0	0.0	0	0.0	0.00%	136.31
Skippable in-stream	XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight	22562643721	101,913	1,964,159	5.19%	0.02	1.0	316,737	0.01	54.53	35.95	0.01%	1960.62
In-feed	XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight	22562643721	58,318	1,951,805	2.99%	0.02	0.69	2,123	0.04	265.79	5.06	0.41%	1344.61
Shorts	XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight	22562643721	15,936	1,850,159	0.86%	0.02	0.15	3,037	0.02	2.53	107.69	0.01%	272.57
In-feed	Audi Servisni paketi - Ulje Apr - May 2025 (DG) - CPC	22425388022	29,646	1,157,853	2.56%	0.03	0.78	0	0.0	146	6.22	0.49%	908.41
Shorts	Audi Servisni paketi - Ulje Apr - May 2025 (DG) - CPC	22425388022	1,751	346,180	0.51%	0.03	0.15	0	0.0	13	3.99	0.74%	51.87
Skippable in-stream	PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight	22405006700	124,692	2,348,841	5.31%	0.02	1.16	244,585	0.01	32	85.11	0.01%	2723.68
In-feed	PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight	22405006700	14,737	687,957	2.14%	0.03	0.61	184	0.24	28.14	15.0	0.17%	422.11
Shorts	PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight	22405006700	2,338	326,074	0.72%	0.02	0.17	2,109	0.02	0	0.0	0.00%	54.44
Shorts	Kaufland - Image - Impuls - Gaming - Minecraft - Apr 2025 (YT) - Shorts - CPM	22402632129	2,129	761,435	0.28%	0.71	1.97	24,889	0.06	118.87	12.65	0.26%	1503.56
Skippable in-stream	Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight	22401215921	8,769	386,703	2.27%	0.09	1.97	48,928	0.02	8.05	94.57	0.01%	760.82
In-feed	Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight	22401215921	36,998	2,213,436	1.67%	0.09	1.42	256	6.9	17.95	175.47	0.02%	3150.52
Shorts	Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight	22401215921	1,034	266,502	0.39%	0.09	0.33	2,033	0.03	0	0.0	0.00%	88.63
Skippable in-stream	Kaufland - Image - Uskrs - Apr 2025 (YT) - CPV	22400857562	703	574,484	0.12%	2.68	3.28	350,319	0.01	1,209.01	1.56	0.29%	1883.53
In-feed	Audi Servisni paketi -  Metlice Apr - May 2025 (DG) - CPC	22400779105	30,165	1,081,683	2.79%	0.03	0.87	0	0.0	82.99	11.29	0.28%	936.53
Shorts	Audi Servisni paketi -  Metlice Apr - May 2025 (DG) - CPC	22400779105	771	156,173	0.49%	0.03	0.15	0	0.0	3	7.89	0.39%	23.66
In-feed	Audi Gume Mar - Apr 2025 (DG) - CPC	22365090942	36,687	1,112,263	3.30%	0.03	1.14	0	0.0	256.26	4.93	0.70%	1262.96
Shorts	Audi Gume Mar - Apr 2025 (DG) - CPC	22365090942	541	110,843	0.49%	0.03	0.16	0	0.0	1	17.91	0.18%	17.91
In-feed	Demand_Gen_Food_KitchenMachines_Kuhinjski_robot_MUM6_2025_HR	22339789598	112,709	5,012,446	2.25%	0.03	0.67	0	0.0	20	167.38	0.02%	3347.59
Shorts	Demand_Gen_Food_KitchenMachines_Kuhinjski_robot_MUM6_2025_HR	22339789598	5,562	998,401	0.56%	0.03	0.15	0	0.0	1	154.45	0.02%	154.45
Skippable in-stream	Kaufland - Image - CSR - Food Waste - Mar 2025 (YT) - VVC	22335405307	604	110,660	0.55%	0.2	1.09	105,409	0.0	541.91	0.22	0.51%	121.16
Shorts	Kaufland - Image - CSR - Food Waste - Mar 2025 (YT) - VVC	22335405307	138	181,741	0.08%	0.69	0.53	18,452	0.01	159.17	0.6	0.72%	95.77
Bumper	202503//Got2b_STY Glued Off LX 25_Bumper_16x9_6s_GluedTinted_Styling&ColorB&E_241126asv01FL2D_Global_V1//6sec//CPM//W18-34	22306607992	5,206	2,524,016	0.21%	0.58	1.19	0	0.0	0	0.0	0.00%	2999.64
Non-skippable in-stream	202503//Got2b_STY Glued Off LX 25_OLV_16x9_15s_GluedTinted_Styling&ColorB&E_241122asv04FL2D_Global_V1//15sec//CPM//W18-34	22296206877	2,529	1,778,322	0.14%	1.58	2.25	0	0.0	0	0.0	0.00%	4000.0
Skippable in-stream	Kaufland - Image - Platforma - Feb-Mar 2025 (YT) - VVC	22268416700	1,839	426,170	0.43%	0.24	1.03	249,376	0.0	882.61	0.5	0.34%	439.56
Shorts	Kaufland - Image - Platforma - Feb-Mar 2025 (YT) - VVC	22268416700	772	480,177	0.16%	0.47	0.75	57,998	0.01	387.82	0.93	0.38%	361.19
Skippable in-stream	Kaufland - Image - Platforma - Feb-Mar 2025 (YT) - CPV	22264967999	1,361	993,473	0.14%	1.84	2.51	558,047	0.0	2,676.79	0.93	0.40%	2498.29
Non-skippable in-stream	Finish Bosch PIP Feb - Mar 2025 (YT) - Non skippable - CPM	22183450735	518	1,307,411	0.04%	5.4	2.14	0	0.0	0	0.0	0.00%	2799.41
Skippable in-stream	Finish Bosch PIP Feb - Mar 2025 (YT) - TrueView - CPV	22183405843	1,756	2,167,167	0.08%	3.65	2.95	1,451,250	0.0	0	0.0	0.00%	6401.66
In-feed	DemandGen_DishCare_Dishwashers__Finish_HR	22152792419	129,036	5,584,555	2.31%	0.03	0.58	0	0.0	0	0.0	0.00%	3237.05
Shorts	DemandGen_DishCare_Dishwashers__Finish_HR	22152792419	3,201	563,852	0.57%	0.02	0.14	0	0.0	0	0.0	0.00%	79.02
Skippable in-stream	Finish Additives Jan - Mar 2025 (YT) - Reach Mix 2.0	22115109963	7,236	4,376,749	0.17%	0.96	1.59	1,399,598	0.0	0	0.0	0.00%	6937.78
In-feed	Finish Additives Jan - Mar 2025 (YT) - Reach Mix 2.0	22115109963	74	1,049,936	0.01%	4.41	0.31	27,363	0.01	0	0.0	0.00%	326.15
Shorts	Finish Additives Jan - Mar 2025 (YT) - Reach Mix 2.0	22115109963	1,862	1,666,730	0.11%	0.45	0.51	14,711	0.06	0	0.0	0.00%	846.78
In-feed	GDN_GDN_Range_nd_Bosch Kuhaj zdravo_Promocija_HR	21975804918	234,651	11,624,033	2.02%	0.02	0.48	0	0.0	39	142.33	0.02%	5550.69
Shorts	GDN_GDN_Range_nd_Bosch Kuhaj zdravo_Promocija_HR	21975804918	9,665	1,614,718	0.60%	0.03	0.15	0	0.0	0	0.0	0.00%	249.76
Skippable in-stream	Demand_Gen_IndoorCleaning_VacuumCleaners_2024_Unlimited 7_HR	21782237668	18,715	414,306	4.52%	0.02	0.9	43,775	0.01	0	0.0	0.00%	371.7
In-feed	Demand_Gen_IndoorCleaning_VacuumCleaners_2024_Unlimited 7_HR	21782237668	84,545	3,206,682	2.64%	0.02	0.56	637	0.06	0	0.0	0.00%	1800.9
Shorts	Demand_Gen_IndoorCleaning_VacuumCleaners_2024_Unlimited 7_HR	21782237668	1,252	151,538	0.83%	0.02	0.18	755	0.01	0	0.0	0.00%	27.53
Skippable in-stream	Demand_Gen_LaundryCare_WashingMachines_Perilice_Sušilice_2024__HR_EUR	21768225276	87,323	1,455,799	6.00%	0.02	1.17	168,450	0.01	0	0.0	0.00%	1696.15
In-feed	Demand_Gen_LaundryCare_WashingMachines_Perilice_Sušilice_2024__HR_EUR	21768225276	26,283	1,003,564	2.62%	0.02	0.6	173	1.61	0	0.0	0.00%	597.34
Shorts	Demand_Gen_LaundryCare_WashingMachines_Perilice_Sušilice_2024__HR_EUR	21768225276	310	38,953	0.80%	0.02	0.17	405	0.01	0	0.0	0.00%	6.53
Skippable in-stream	MUM5Jul24_SDA_SDARange_SDARange_Flight	21429004680	1,097	28,847	3.80%	0.02	0.64	3,070	0.01	0	0.0	0.00%	18.45
In-feed	MUM5Jul24_SDA_SDARange_SDARange_Flight	21429004680	37,524	1,191,308	3.15%	0.02	0.65	36	0.89	0	0.0	0.00%	772.68
Shorts	MUM5Jul24_SDA_SDARange_SDARange_Flight	21429004680	343	48,207	0.71%	0.03	0.19	501	0.02	0	0.0	0.00%	9.22
Skippable in-stream	Škoda Octavia Dec 2025 (YT) - Efficient Reach - CPM	23358399088	946	942,438	0.10%	1.87	1.87	385,037	0.0	338.77	5.21	0.08%	1765.63
In-feed	Škoda Octavia Dec 2025 (YT) - Efficient Reach - CPM	23358399088	15	485,817	0.00%	17.69	0.55	5,767	0.05	41.07	6.46	0.42%	265.38
Shorts	Škoda Octavia Dec 2025 (YT) - Efficient Reach - CPM	23358399088	858	562,027	0.15%	0.55	0.83	8,776	0.05	218.89	2.14	1.03%	468.02
Skippable in-stream	Škoda Akumulator Nov - Dec 2025 (DG) - CPC	23242272630	807	26,521	3.04%	0.03	1.0	7,684	0.0	9.49	2.8	0.10%	26.61
In-feed	Škoda Akumulator Nov - Dec 2025 (DG) - CPC	23242272630	29,314	1,629,033	1.80%	0.03	0.58	427	0.75	258.24	3.65	0.62%	941.55
Shorts	Škoda Akumulator Nov - Dec 2025 (DG) - CPC	23242272630	6,608	725,362	0.91%	0.03	0.26	899	0.03	23.97	7.75	0.28%	185.8
Skippable in-stream	Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC	23242081674	1,231	46,087	2.67%	0.03	0.89	14,207	0.0	5.7	7.22	0.03%	41.2
In-feed	Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC	23242081674	52,545	2,570,127	2.04%	0.03	0.63	497	1.69	663.07	2.44	0.69%	1617.89
Shorts	Volkswagen Akumulator Nov - Dec 2025 (DG) - CPC	23242081674	7,052	802,857	0.88%	0.03	0.23	905	0.02	80.38	2.33	0.82%	186.89
Skippable in-stream	Škoda 130 godina Nov - Dec 2025 (YT) Efficient reach - CPM	23236016321	1,146	1,502,285	0.08%	2.66	2.03	632,947	0.0	588.41	5.18	0.08%	3048.35
In-feed	Škoda 130 godina Nov - Dec 2025 (YT) Efficient reach - CPM	23236016321	47	962,654	0.00%	8.49	0.41	10,637	0.04	88.24	4.52	0.50%	398.8
Shorts	Škoda 130 godina Nov - Dec 2025 (YT) Efficient reach - CPM	23236016321	1,563	1,096,643	0.14%	0.51	0.73	20,734	0.04	225.77	3.53	0.31%	797.45
In-feed	Seat Akumulator Nov - Dec 2025 (DG) - CPC	23231650544	18,922	978,304	1.93%	0.03	0.61	0	0.0	113.02	5.26	0.60%	594.64
Shorts	Seat Akumulator Nov - Dec 2025 (DG) - CPC	23231650544	6,071	841,470	0.72%	0.03	0.21	0	0.0	35.93	4.9	0.59%	175.96
Skippable in-stream	Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC	23200358572	5,891	218,409	2.70%	0.03	0.92	29,917	0.01	29.12	6.87	0.06%	200.13
In-feed	Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC	23200358572	85,685	4,400,054	1.95%	0.04	0.69	644	1.77	1,800.84	1.69	1.25%	3052.25
Shorts	Volkswagen Zupčasti remen Oct - Dec 2025 (DG) - CPC	23200358572	2,598	319,346	0.81%	0.03	0.25	1,506	0.02	14.86	5.26	0.20%	78.24
Skippable in-stream	Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC	23196329174	2,552	80,247	3.18%	0.04	1.17	13,163	0.01	38.26	2.46	0.21%	94.08
In-feed	Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC	23196329174	66,158	3,760,677	1.76%	0.04	0.63	496	1.78	689.44	3.42	0.59%	2359.1
Shorts	Škoda Zupčasti remen Oct - Dec 2025 (DG) - CPC	23196329174	1,209	121,633	0.99%	0.03	0.3	822	0.02	5.01	7.21	0.15%	36.09
In-feed	Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC	23177785397	43,869	2,430,633	1.80%	0.04	0.71	0	0.0	143.44	12.05	0.33%	1728.89
Shorts	Seat Zupčasti remen Oct - Dec 2025 (DG) - CPC	23177785397	5,461	835,776	0.65%	0.04	0.23	0	0.0	28.64	6.85	0.52%	196.16
In-feed	Volkswagen Gume Oct - Dec 2025 (DG) - CPC	23160958240	60,737	3,572,768	1.70%	0.04	0.7	0	0.0	491.09	5.12	0.81%	2514.54
Shorts	Volkswagen Gume Oct - Dec 2025 (DG) - CPC	23160958240	10,999	1,592,873	0.69%	0.03	0.24	0	0.0	69.55	5.4	0.63%	375.35
In-feed	Volkswagen Metlice Oct - Dec 2025 (DG) - CPC	23156738063	26,670	1,600,704	1.67%	0.04	0.7	0	0.0	205.56	5.44	0.77%	1118.37
Shorts	Volkswagen Metlice Oct - Dec 2025 (DG) - CPC	23156738063	3,931	542,221	0.72%	0.03	0.24	0	0.0	28.53	4.53	0.73%	129.35
In-feed	Škoda Metlice Oct - Dec 2025 (DG) - CPC	23156094650	10,702	401,481	2.67%	0.04	0.99	0	0.0	291.95	1.35	2.73%	395.54
Shorts	Škoda Metlice Oct - Dec 2025 (DG) - CPC	23156094650	2,593	371,282	0.70%	0.03	0.23	0	0.0	6.99	12.12	0.27%	84.69
In-feed	Škoda Gume Oct - Dec 2025 (DG) - CPC	23155974167	37,136	2,153,888	1.72%	0.04	0.69	0	0.0	326.97	4.52	0.88%	1477.38
Shorts	Škoda Gume Oct - Dec 2025 (DG) - CPC	23155974167	10,432	1,457,089	0.72%	0.03	0.23	0	0.0	77.71	4.4	0.74%	341.99
Skippable in-stream	Cupra Terramar Oct 2025 (YT) - Efficient reach	23155724081	1,921	1,900,240	0.10%	2.17	2.2	667,959	0.01	153	27.26	0.02%	4171.42
In-feed	Cupra Terramar Oct 2025 (YT) - Efficient reach	23155724081	53	1,262,893	0.00%	8.92	0.37	11,177	0.04	55	8.6	0.29%	472.83
Shorts	Cupra Terramar Oct 2025 (YT) - Efficient reach	23155724081	1,620	1,244,834	0.13%	0.59	0.77	14,744	0.06	36	26.5	0.09%	954.0
In-feed	Seat Metlice Oct - Dec 2025 (DG) - CPC	23151051484	23,421	1,333,432	1.76%	0.04	0.68	0	0.0	1.58	577.0	0.01%	910.74
Shorts	Seat Metlice Oct - Dec 2025 (DG) - CPC	23151051484	1,381	211,744	0.65%	0.04	0.24	0	0.0	0	0.0	0.00%	51.18
In-feed	Seat Gume Oct - Dec 2025 (DG) - CPC	23141475096	31,572	1,931,804	1.63%	0.04	0.63	0	0.0	378.32	3.21	1.20%	1213.1
Shorts	Seat Gume Oct - Dec 2025 (DG) - CPC	23141475096	4,878	769,268	0.63%	0.04	0.24	0	0.0	30.79	5.99	0.63%	184.32
Skippable in-stream	Volkswagen PHEV Sep - Oct 2025 (YT) - CPM	23005360310	660	579,247	0.11%	1.68	1.91	207,301	0.01	119.38	9.28	0.05%	1108.42
In-feed	Volkswagen PHEV Sep - Oct 2025 (YT) - CPM	23005360310	1	103,551	0.00%	47.02	0.45	1,575	0.03	4.89	9.61	0.17%	47.02
Shorts	Volkswagen PHEV Sep - Oct 2025 (YT) - CPM	23005360310	777	622,127	0.12%	0.57	0.72	8,465	0.05	51.77	8.6	0.23%	445.16
In-feed	Volkswagen PHEV Sep - Oct 2025 (DG) - CPC	22999073400	48,438	3,760,058	1.29%	0.03	0.38	0	0.0	1,089.07	1.33	2.25%	1443.9
Shorts	Volkswagen PHEV Sep - Oct 2025 (DG) - CPC	22999073400	13,004	1,969,198	0.66%	0.03	0.19	0	0.0	37.45	9.82	0.29%	367.94
Skippable in-stream	Škoda Kodiaq PHEV August 2025 (YT) - CPM	22845894406	1,067	1,282,277	0.08%	1.63	1.36	431,466	0.0	463.2	3.76	0.09%	1741.6
In-feed	Škoda Kodiaq PHEV August 2025 (YT) - CPM	22845894406	10	337,556	0.00%	9.3	0.28	4,805	0.02	75.12	1.24	0.92%	93.0
Shorts	Škoda Kodiaq PHEV August 2025 (YT) - CPM	22845894406	1,224	824,681	0.15%	0.38	0.56	12,887	0.04	107.78	4.32	0.26%	465.88
Skippable in-stream	Škoda Superb PHEV August 2025 (YT) - CPM	22845574717	3,213	2,364,597	0.14%	1.14	1.55	721,068	0.01	987.48	3.72	0.11%	3670.76
In-feed	Škoda Superb PHEV August 2025 (YT) - CPM	22845574717	28	667,358	0.00%	8.17	0.34	8,565	0.03	42.06	5.44	0.30%	228.88
Shorts	Škoda Superb PHEV August 2025 (YT) - CPM	22845574717	2,155	1,253,718	0.17%	0.42	0.72	24,531	0.04	204.56	4.4	0.34%	900.69
In-feed	Škoda Superb PHEV August 2025 (DG) - CPC	22841776748	65,649	5,285,331	1.24%	0.04	0.51	0	0.0	1,890.17	1.43	2.88%	2701.29
Shorts	Škoda Superb PHEV August 2025 (DG) - CPC	22841776748	6,059	1,137,385	0.53%	0.04	0.22	0	0.0	269.68	0.92	4.45%	248.65
In-feed	Škoda Kodiaq PHEV August 2025 (DG) - CPC	22836207357	26,404	1,816,469	1.45%	0.04	0.58	0	0.0	583.82	1.79	2.21%	1046.15
Shorts	Škoda Kodiaq PHEV August 2025 (DG) - CPC	22836207357	3,871	664,237	0.58%	0.04	0.23	0	0.0	36.74	4.18	0.95%	153.65
Skippable in-stream	Cupra Formentor Jul - Aug 2025 (YT) - CPM	22779402390	1,927	2,797,164	0.07%	1.98	1.36	1,046,797	0.0	161.74	23.59	0.01%	3814.62
In-feed	Cupra Formentor Jul - Aug 2025 (YT) - CPM	22779402390	22	972,891	0.00%	9.12	0.21	9,965	0.02	7.8	25.71	0.05%	200.66
Shorts	Cupra Formentor Jul - Aug 2025 (YT) - CPM	22779402390	2,838	1,932,050	0.15%	0.35	0.51	25,542	0.04	50.04	19.71	0.07%	986.2
In-feed	Cupra Formentor Jul - Aug 2025 (DG) - CPC	22779402381	172,138	9,409,798	1.83%	0.02	0.37	0	0.0	868.15	4.03	0.50%	3500.03
In-feed	Volkswagen PHEV Jun-Aug 2025 (DG) - CPC	22719192229	110,150	6,301,363	1.75%	0.02	0.36	0	0.0	13,428.86	0.17	12.19%	2272.86
Shorts	Volkswagen PHEV Jun-Aug 2025 (DG) - CPC	22719192229	33,551	4,527,882	0.74%	0.02	0.15	0	0.0	282.11	2.37	0.84%	669.34
Skippable in-stream	Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM	22718937352	2,750	2,290,122	0.12%	1.39	1.67	821,259	0.0	1,142.19	3.36	0.12%	3835.81
In-feed	Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM	22718937352	8	181,084	0.00%	10.12	0.45	4,995	0.02	8.04	10.08	0.10%	81.0
Shorts	Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM	22718937352	3,043	2,020,007	0.15%	0.47	0.71	31,733	0.05	683.3	2.11	0.79%	1444.28
Bumper	202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper	22623704862	13,180	7,431,954	0.18%	0.87	1.54	0	0.0	0	0.0	0.00%	11455.15
